All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.451045	1.123567	0.003440	2.956504	3.022594	
213.164581	1.801366	1.465323	1.145748	0.002967	3.018314	3.055785	
214.752319	1.796011	1.482951	1.168772	0.002497	3.080876	3.089487	
216.340134	1.790912	1.501239	1.192738	0.002132	3.145316	3.123678	
217.928055	1.786005	1.520047	1.217744	0.001848	3.215400	3.158371	
219.516022	1.781151	1.541855	1.243896	0.001397	3.293233	3.193607	
221.104050	1.776367	1.569141	1.271268	0.001173	3.379450	3.229531	
222.692169	1.771816	1.603817	1.300082	0.000950	3.474250	3.266649	
224.280350	1.767480	1.647378	1.331440	0.000729	3.579219	3.306002	
225.868576	1.763291	1.705862	1.368742	0.000510	3.697224	3.347950	
227.456879	1.759150	1.788610	1.417031	0.000293	3.825593	3.388365	
229.045258	1.755276	1.902739	1.476103	0.000079	3.954619	3.417338	
230.633713	1.751450	2.047856	1.535902	0.000000	4.073940	3.427399	
232.222244	1.747662	2.223000	1.583465	0.000000	4.175299	3.422007	
233.810822	1.743917	2.423340	1.613059	0.000000	4.247072	3.412525	
235.399445	1.740412	2.637567	1.628942	0.000000	4.282841	3.408360	
236.988159	1.736960	2.854650	1.637225	0.000000	4.281661	3.412519	
238.576935	1.733552	3.065888	1.642134	0.000000	4.246023	3.424280	
240.165741	1.730382	3.264101	1.645569	0.000000	4.178630	3.442288	
241.754639	1.727244	3.441062	1.648309	0.000000	4.084423	3.465570	
243.343597	1.724156	3.592623	1.650725	0.000000	3.972439	3.493745	
244.932617	1.721282	3.717979	1.653081	0.000000	3.849369	3.526508	
246.521698	1.718439	3.815485	1.655635	0.000000	3.722146	3.563881	
248.110840	1.715615	3.887319	1.658714	0.000000	3.600778	3.606118	
249.700027	1.712840	3.940786	1.662727	0.000000	3.492535	3.653296	
251.289276	1.710177	3.986763	1.668192	0.000000	3.400063	3.705624	
252.878616	1.707630	4.033606	1.675715	0.000000	3.317404	3.763267	
254.467972	1.705125	4.083032	1.685985	0.000000	3.238756	3.826319	
256.057404	1.702677	4.135390	1.699746	0.000000	3.159907	3.894793	
257.646881	1.700397	4.189923	1.717770	0.000000	3.076150	3.968604	
259.236420	1.698043	4.243054	1.740836	0.000000	2.983366	4.047571	
260.826019	1.695632	4.289011	1.769707	0.000000	2.879205	4.131420	
262.415680	1.693550	4.319358	1.805106	0.000000	2.766034	4.219814	
264.005371	1.691507	4.330885	1.847700	0.000000	2.652076	4.312377	
265.595154	1.689352	4.325119	1.898091	0.000000	2.543772	4.408767	
267.184967	1.687262	4.305861	1.956990	0.000000	2.445785	4.508855	
268.774811	1.685311	4.277880	2.025317	0.000000	2.359243	4.612829	
270.364716	1.683378	4.243788	2.104447	0.000000	2.283879	4.721065	
271.954681	1.681464	4.205703	2.197320	0.000000	2.219767	4.833691	
273.544739	1.679574	4.166039	2.309657	0.000000	2.166741	4.948874	
275.134796	1.677697	4.126868	2.444857	0.000000	2.123623	5.060009	
276.724915	1.675961	4.089431	2.602002	0.000000	2.089203	5.157740	
278.315063	1.674275	4.054752	2.773091	0.000000	2.062405	5.234608	
279.905273	1.672616	4.023886	2.946965	0.000000	2.041954	5.294608	
281.495544	1.670964	3.997300	3.122405	0.000000	2.026050	5.347751	
283.085876	1.669457	3.974692	3.309460	0.000000	2.013097	5.401219	
284.676208	1.667986	3.955222	3.524439	0.000000	2.001831	5.446385	
286.266602	1.666430	3.937337	3.769389	0.000000	1.991774	5.464629	
287.857056	1.664845	3.920120	4.033906	0.000000	1.983919	5.434958	
289.447571	1.663379	3.903794	4.295397	0.000000	1.979169	5.349046	
291.038086	1.661969	3.889102	4.531756	0.000000	1.978108	5.213264	
292.628662	1.660576	3.877419	4.724962	0.000000	1.980784	5.040545	
294.219299	1.659196	3.869886	4.871256	0.000000	1.985790	4.851742	
295.809967	1.657876	3.866311	4.974534	0.000000	1.991567	4.662869	
297.400665	1.656662	3.865870	5.042196	0.000000	1.996964	4.484626	
298.991394	1.655434	3.867100	5.082824	0.000000	2.001270	4.323081	
300.582214	1.654115	3.867997	5.105662	0.000000	2.005305	4.179348	
302.173035	1.652795	3.868207	5.116897	0.000000	2.011089	4.052912	
303.763916	1.651607	3.868523	5.121128	0.000000	2.020140	3.942152	
305.354797	1.650446	3.870404	5.121561	0.000000	2.033498	3.845023	
306.945740	1.649359	3.876226	5.120307	0.000000	2.051398	3.759509	
308.536743	1.648350	3.888117	5.118719	0.000000	2.071715	3.683820	
