ROI net sum

Spectrum                                      Si    P   Ar   Ni    Zn    Ga   Rh
20230626_CVD_2808_60s_20x20ptsdet_1_12_13 327706 7282  255 1063   343 21040 9127
20230626_CVD_2808_60s_20x20ptsdet_1_12_14 327087 7262  256 1077   316 20643 8906
20230626_CVD_2808_60s_20x20ptsdet_1_12_15 326890 7356  278 1116   309 20708 8809
20230626_CVD_2808_60s_20x20ptsdet_1_12_16 327154 7308  244  966   230 20474 8506
20230626_CVD_2808_60s_20x20ptsdet_1_12_17 327793 7271  276 1032   321 20616 8950
20230626_CVD_2808_60s_20x20ptsdet_1_12_18 326756 7349  243 1073   316 20325 8700
20230626_CVD_2808_60s_20x20ptsdet_1_12_19 327257 7522  258 1121   294 20512 8748
20230626_CVD_2808_60s_20x20ptsdet_1_12_2  324061 7197  256 1085   414 20344 8673
20230626_CVD_2808_60s_20x20ptsdet_1_12_3  324101 7329  255 1118   375 20718 8839
20230626_CVD_2808_60s_20x20ptsdet_1_12_4  325192 7251  255 1042   515 20600 8811
20230626_CVD_2808_60s_20x20ptsdet_1_12_5  325551 7323  240  974   421 20617 8749
20230626_CVD_2808_60s_20x20ptsdet_1_12_6  324747 7291  264 1036   322 20539 8849
20230626_CVD_2808_60s_20x20ptsdet_1_12_7  326412 7299  239 1086   509 20526 8601
20230626_CVD_2808_60s_20x20ptsdet_1_12_8  325105 7357  233 1063   325 20512 8739
20230626_CVD_2808_60s_20x20ptsdet_1_12_9  323780 7256  262 1042   397 20336 8782
20230626_CVD_2808_60s_20x20ptsdet_1_13_0  327364 7380  222 1006   349 20348 8530
20230626_CVD_2808_60s_20x20ptsdet_1_13_1  327070 7179  214  967   352 20798 8671
20230626_CVD_2808_60s_20x20ptsdet_1_13_10 327298 7240  250  948   346 20333 8683
20230626_CVD_2808_60s_20x20ptsdet_1_13_11 326830 7414  268 1045   315 20610 8841
20230626_CVD_2808_60s_20x20ptsdet_1_13_12 326335 7524  290 1060   261 20759 8789
20230626_CVD_2808_60s_20x20ptsdet_1_13_13 326755 7319  236 1109   341 20399 8962
20230626_CVD_2808_60s_20x20ptsdet_1_13_14 328066 7252  245 1206   341 20718 8886
20230626_CVD_2808_60s_20x20ptsdet_1_13_15 326670 7479  249  952   442 20505 8669
20230626_CVD_2808_60s_20x20ptsdet_1_13_16 326948 7416  254 1002   321 20744 8989
20230626_CVD_2808_60s_20x20ptsdet_1_13_17 327721 7285  260 1122   308 20689 8617
20230626_CVD_2808_60s_20x20ptsdet_1_13_18 327980 7371  236 1022   335 20957 8805
20230626_CVD_2808_60s_20x20ptsdet_1_13_19 326807 7436  259 1059   413 20549 8680
20230626_CVD_2808_60s_20x20ptsdet_1_13_2  326785 7468  284 1017   238 20310 8886
20230626_CVD_2808_60s_20x20ptsdet_1_13_3  326298 7327  268 1021   201 20390 8655
20230626_CVD_2808_60s_20x20ptsdet_1_13_4  326739 7383  251 1043   437 20987 8941
20230626_CVD_2808_60s_20x20ptsdet_1_13_5  326972 7217  210 1054   341 20755 8871
20230626_CVD_2808_60s_20x20ptsdet_1_13_6  326708 7361  269 1084   365 20630 8523
20230626_CVD_2808_60s_20x20ptsdet_1_13_7  327110 7366  236  970   292 20620 8714
20230626_CVD_2808_60s_20x20ptsdet_1_13_8  326318 7262  216 1061   409 20793 8870
20230626_CVD_2808_60s_20x20ptsdet_1_13_9  325719 7263  243 1131   367 20841 8814
20230626_CVD_2808_60s_20x20ptsdet_1_14_0  328236 7260  251  951   318 20581 8809
20230626_CVD_2808_60s_20x20ptsdet_1_14_1  328154 7389  231  998   233 20606 8734
20230626_CVD_2808_60s_20x20ptsdet_1_14_10 323780 7244  217 1005   354 20232 8788
20230626_CVD_2808_60s_20x20ptsdet_1_14_11 323729 7198  258  973   333 20549 8713
20230626_CVD_2808_60s_20x20ptsdet_1_14_12 326217 7328  219 1139   271 20652 8956
