"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;337890;14378.6;5975.96;480.792;1196;340.898;17418;2237.2;13.7065;167.744;666.769;43.8899;223.38;370.467;657.252;262.525;81.9312;29.9033;46.2449;41.5465;141.916;77.3663;37.7449;78.624;78.9679;21.369;22.2158;24.2985;2.29641
0;1;856.441;737.713;617.873;386.181;120.499;82.1125;1.73777;9.9696;883.205;558.232;572.346;25.2922;48.4969;78.1558;72.2886;61.2633;39.7915;34.5394;40.5233;45.6591;52.6918;66.4467;42.1717;162.924;177.087;27.8018;24.6641;22.1108;2.74089
1;0;341868;14090.6;6061.43;415.766;1062.71;378.007;17766.8;2589.09;8.21282;337.842;445.533;112.208;174.867;269.054;661.399;260.513;82.4466;29.018;45.2723;41.9507;143.115;77.1807;37.4898;75.2517;73.315;23.0446;22.1235;22.2956;2.16193
1;1;829.348;712.442;602.018;387.279;109.916;38.3465;4.94111;7.93309;882.262;538.123;544.953;19.2367;45.2962;79.4459;90.133;66.976;50.6994;36.3676;40.3734;44.5472;52.3874;63.4428;54.9247;131.821;164.233;26.5364;23.7731;21.9343;2.6354
2;0;341056;14484.4;6012.81;416.143;1205.16;400.498;17926.5;2438.09;5.8793;304.573;445.277;94.0272;146.64;310.993;671.399;259.856;81.9137;29.1424;46.3352;41.5224;143.269;77.7252;35.3958;72.6374;72.1346;22.102;20.3248;22.8057;2.26753
2;1;828.036;713.554;595.534;367.976;153.799;102.331;2.96179;16.1795;860.02;552.444;566.115;12.6745;39.8305;74.9994;79.4551;68.1467;44.3459;37.5397;41.498;45.4992;51.2657;63.0376;50.6978;171.569;184.848;26.9385;23.7605;21.4921;2.69586
3;0;340557;14121.5;6060.07;412.743;1147.02;393.072;17780.5;2466.53;4.83533;222.38;516.663;93.6177;195.144;372.028;668.343;258.332;82.3459;29.0471;45.8715;41.5728;142.743;76.3451;35.0571;72.1048;71.8663;21.261;21.5477;23.72;2.31957
3;1;796.724;686.369;581.089;373.178;116.17;61.9444;4.14184;9.47995;825.839;506.686;516.231;18.5394;36.9155;76.3766;81.5812;65.2215;45.0773;34.8964;39.5877;44.4189;51.5486;62.1169;49.7942;161.646;177.117;27.0258;23.7156;21.1662;2.5878
4;0;343101;14574.7;5947.22;452.643;1008.04;302.411;17513.2;2446.5;2.90258;318.806;395.656;69.6597;187.641;356.367;658.72;264;81.6379;29.6983;44.5248;40.9227;142.338;77.5446;35.843;74.064;71.359;21.5224;21.3419;23.7054;2.24784
4;1;817.586;703.413;585.917;356.754;144.347;74.8458;2.84909;10.0402;823.911;505.985;513.868;33.9404;44.527;76.0264;79.1636;60.7457;43.518;35.2927;42.7291;45.4185;52.5472;62.9698;45.5883;135.158;152.39;26.7761;23.6388;21.1214;2.52877
