ROI net sum

Spectrum                                    Si     P   Ar   Ni    Zn    Ga   Rh
20230621_CVD_2566_60s_10x10ptsdet_1_6_5 229114 23015  253 1055   395 74993 7092
20230621_CVD_2566_60s_10x10ptsdet_1_6_6 229205 23115  255 1059   371 74950 6988
20230621_CVD_2566_60s_10x10ptsdet_1_6_7 230483 23277  291 1038   329 75781 7175
20230621_CVD_2566_60s_10x10ptsdet_1_6_8 230279 23350  253 1088   343 75376 7218
20230621_CVD_2566_60s_10x10ptsdet_1_6_9 230874 23580  263 1123   444 75868 7383
20230621_CVD_2566_60s_10x10ptsdet_1_7_0 230080 23394  256 1108   268 75782 7315
20230621_CVD_2566_60s_10x10ptsdet_1_7_1 229506 23329  286 1139   327 75097 7144
20230621_CVD_2566_60s_10x10ptsdet_1_7_2 230088 23535  241 1155   392 75203 6983
20230621_CVD_2566_60s_10x10ptsdet_1_7_3 229531 23389  215  963   247 75537 7284
20230621_CVD_2566_60s_10x10ptsdet_1_7_4 229977 23689  221 1049   316 75325 7154
20230621_CVD_2566_60s_10x10ptsdet_1_7_5 230132 23448  252 1073   387 75218 7083
20230621_CVD_2566_60s_10x10ptsdet_1_7_6 229905 23393  236 1043   403 75452 7015
20230621_CVD_2566_60s_10x10ptsdet_1_7_7 229764 23340  210 1057   266 74978 7277
20230621_CVD_2566_60s_10x10ptsdet_1_7_8 229468 23119  253 1090   347 75274 7041
20230621_CVD_2566_60s_10x10ptsdet_1_7_9 230652 23141  257 1032   323 75316 7021
20230621_CVD_2566_60s_10x10ptsdet_1_8_0 230352 23463  243 1183   380 74795 7430
20230621_CVD_2566_60s_10x10ptsdet_1_8_1 230982 23617  272 1093   452 75383 7119
20230621_CVD_2566_60s_10x10ptsdet_1_8_2 230420 23189  219 1156   341 75899 7192
20230621_CVD_2566_60s_10x10ptsdet_1_8_3 230870 23422  237 1055   369 75844 7165
20230621_CVD_2566_60s_10x10ptsdet_1_8_4 230959 23264  214 1136   420 75589 7093
20230621_CVD_2566_60s_10x10ptsdet_1_8_5 231242 23550  260  993   422 75872 7219
20230621_CVD_2566_60s_10x10ptsdet_1_8_6 230254 23262  231  995   365 75223 7248
20230621_CVD_2566_60s_10x10ptsdet_1_8_7 230812 23326  253 1064   334 75162 7131
20230621_CVD_2566_60s_10x10ptsdet_1_8_8 230632 23238  256 1014   404 75229 7054
20230621_CVD_2566_60s_10x10ptsdet_1_8_9 230884 23457  253  989   445 75890 7190
20230621_CVD_2566_60s_10x10ptsdet_1_9_0 228843 23135  254 1006   373 74550 7321
20230621_CVD_2566_60s_10x10ptsdet_1_9_1 228856 23129  259 1120   551 74637 7173
20230621_CVD_2566_60s_10x10ptsdet_1_9_2 227686 23182  219 1044   306 74588 7005
20230621_CVD_2566_60s_10x10ptsdet_1_9_3 228069 22963  262 1048   317 74829 6928
20230621_CVD_2566_60s_10x10ptsdet_1_9_4 228019 22975  245 1116   467 74357 7040
20230621_CVD_2566_60s_10x10ptsdet_1_9_5 226863 23148  282 1043   384 74940 7015
20230621_CVD_2566_60s_10x10ptsdet_1_9_6 228496 22959  263  969   446 74925 6997
20230621_CVD_2566_60s_10x10ptsdet_1_9_7 228011 23268  286  988   248 74070 7051
20230621_CVD_2566_60s_10x10ptsdet_1_9_8 228437 22943  217 1001   383 74428 6896
20230621_CVD_2566_60s_10x10ptsdet_1_9_9 228522 23242  239 1091   459 74297 7056
20230621_CVD_2566_60s_10x10ptsdet_2_0_0 238469 23387  277 1097   302 76930 7539
20230621_CVD_2566_60s_10x10ptsdet_2_0_1 238513 23184  219 1164   374 77105 7676
20230621_CVD_2566_60s_10x10ptsdet_2_0_2 238529 23137  292 1151   458 76805 7728
20230621_CVD_2566_60s_10x10ptsdet_2_0_3 238730 23716  264 1162   304 77355 7606
20230621_CVD_2566_60s_10x10ptsdet_2_0_4 237254 23466  238 1083   315 76628 7887
20230621_CVD_2566_60s_10x10ptsdet_2_0_5 237580 23639  268 1182   328 76894 7687
20230621_CVD_2566_60s_10x10ptsdet_2_0_6 238340 23465  255 1138   412 77381 7610
20230621_CVD_2566_60s_10x10ptsdet_2_0_7 238297 23165  249 1211   407 77232 7600
20230621_CVD_2566_60s_10x10ptsdet_2_0_8 236575 23545  213 1136   290 76806 7763
20230621_CVD_2566_60s_10x10ptsdet_2_0_9 237480 23346  229 1213   313 77341 7750
20230621_CVD_2566_60s_10x10ptsdet_2_1_0 238532 23572  219 1202   334 76422 7162
20230621_CVD_2566_60s_10x10ptsdet_2_1_1 239098 23273  220 1211   282 77399 7064
20230621_CVD_2566_60s_10x10ptsdet_2_1_2 238258 23184  256 1156   427 77028 6967
20230621_CVD_2566_60s_10x10ptsdet_2_1_3 239487 23654  242 1236   374 76933 7012
20230621_CVD_2566_60s_10x10ptsdet_2_1_4 237044 23077  246 1285   457 76375 7123
20230621_CVD_2566_60s_10x10ptsdet_2_1_5 235323 23077  227 1210   324 75978 7165
20230621_CVD_2566_60s_10x10ptsdet_2_1_6 233091 23048  217 1151   358 76039 7019
20230621_CVD_2566_60s_10x10ptsdet_2_1_7 234060 22838  226 1061   224 75681 7158
20230621_CVD_2566_60s_10x10ptsdet_2_1_8 236919 23108  239 1010   356 76678 7229
20230621_CVD_2566_60s_10x10ptsdet_2_1_9 232698 22801  241 1139   211 74985 7048
20230621_CVD_2566_60s_10x10ptsdet_2_2_0 229632 22261  257 1181   351 74030 6516
20230621_CVD_2566_60s_10x10ptsdet_2_2_1 230035 22053  204 1227   384 74038 6831
20230621_CVD_2566_60s_10x10ptsdet_2_2_2 230385 22273  258 1128   295 74153 6983
20230621_CVD_2566_60s_10x10ptsdet_2_2_3 230174 22359  222 1111   352 74414 6853
20230621_CVD_2566_60s_10x10ptsdet_2_2_4 228724 22471  219 1101   222 74102 6785
20230621_CVD_2566_60s_10x10ptsdet_2_2_5 230495 22355  211 1164   349 74816 6666
20230621_CVD_2566_60s_10x10ptsdet_2_2_6 229542 22505  241 1132   404 74951 6831
20230621_CVD_2566_60s_10x10ptsdet_2_2_7 228747 22728  198 1106   252 73799 6709
20230621_CVD_2566_60s_10x10ptsdet_2_2_8 231800 22661  234 1133   388 75023 6985
20230621_CVD_2566_60s_10x10ptsdet_2_2_9 235524 23144  242 1089   421 76484 6918
20230621_CVD_2566_60s_10x10ptsdet_2_3_0 237962 23387  267 1160   341 76460 6975
20230621_CVD_2566_60s_10x10ptsdet_2_3_1 238530 23153  272 1146   414 77298 7331
20230621_CVD_2566_60s_10x10ptsdet_2_3_2 237953 23405  258 1219   449 77168 7070
20230621_CVD_2566_60s_10x10ptsdet_2_3_3 238761 23393  249 1161   389 77397 7093
20230621_CVD_2566_60s_10x10ptsdet_2_3_4 239100 23371  274 1048   284 77038 6967
20230621_CVD_2566_60s_10x10ptsdet_2_3_5 237788 23181  275 1254   436 77774 7055
20230621_CVD_2566_60s_10x10ptsdet_2_3_6 238520 23494  222 1219   350 77175 7161
20230621_CVD_2566_60s_10x10ptsdet_2_3_7 238094 23434  251 1098   377 76915 6883
