ROI backgr, sum

Spectrum                                       Si       P     Ar      Ni       Zn       Ga       Rh
20230628_CVD_2546_60s_20x20ptsdet_1_11_9     -246    -208    -83    -938    -1755    -2279    -4893
20230628_CVD_2546_60s_20x20ptsdet_1_12_0     -239    -195    -63    -899    -1690    -2238    -4852
20230628_CVD_2546_60s_20x20ptsdet_1_12_1     -252    -201    -75   -1003    -1687    -2219    -4881
20230628_CVD_2546_60s_20x20ptsdet_1_12_10    -268    -234    -99    -922    -1766    -2287    -4878
20230628_CVD_2546_60s_20x20ptsdet_1_12_11    -254    -213    -78    -887    -1743    -2256    -4825
20230628_CVD_2546_60s_20x20ptsdet_1_12_12    -265    -214    -78    -917    -1640    -2143    -4851
20230628_CVD_2546_60s_20x20ptsdet_1_12_13    -253    -203    -84    -825    -1645    -2197    -4836
20230628_CVD_2546_60s_20x20ptsdet_1_12_14    -236    -183    -68    -909    -1771    -2312    -4791
20230628_CVD_2546_60s_20x20ptsdet_1_12_15    -253    -206    -85    -911    -1720    -2250    -4780
20230628_CVD_2546_60s_20x20ptsdet_1_12_16    -271    -239    -80    -931    -1698    -2251    -4930
20230628_CVD_2546_60s_20x20ptsdet_1_12_17    -253    -207    -80    -967    -1706    -2220    -4889
20230628_CVD_2546_60s_20x20ptsdet_1_12_18    -253    -210    -84    -969    -1597    -2179    -4919
20230628_CVD_2546_60s_20x20ptsdet_1_12_19    -258    -213    -75    -914    -1713    -2267    -4850
20230628_CVD_2546_60s_20x20ptsdet_1_12_2     -253    -213    -76    -914    -1620    -2140    -4854
20230628_CVD_2546_60s_20x20ptsdet_1_12_3     -261    -221    -85    -964    -1715    -2239    -4936
20230628_CVD_2546_60s_20x20ptsdet_1_12_4     -250    -211    -87    -880    -1586    -2094    -4949
20230628_CVD_2546_60s_20x20ptsdet_1_12_5     -255    -219    -87    -966    -1739    -2262    -4898
20230628_CVD_2546_60s_20x20ptsdet_1_12_6     -260    -218    -81    -876    -1746    -2268    -4809
20230628_CVD_2546_60s_20x20ptsdet_1_12_7     -265    -224    -74    -961    -1700    -2247    -4576
20230628_CVD_2546_60s_20x20ptsdet_1_12_8     -261    -215    -89    -992    -1655    -2203    -4849
20230628_CVD_2546_60s_20x20ptsdet_1_12_9     -270    -223    -83    -928    -1716    -2269    -4855
20230628_CVD_2546_60s_20x20ptsdet_1_13_0     -266    -225    -76    -902    -1683    -2190    -4890
20230628_CVD_2546_60s_20x20ptsdet_1_13_1     -265    -229    -83    -985    -1754    -2276    -4830
20230628_CVD_2546_60s_20x20ptsdet_1_13_10    -271    -228   -101    -933    -1677    -2224    -4916
20230628_CVD_2546_60s_20x20ptsdet_1_13_11    -254    -211    -77    -943    -1763    -2287    -4909
20230628_CVD_2546_60s_20x20ptsdet_1_13_12    -254    -205    -68    -956    -1713    -2231    -4931
20230628_CVD_2546_60s_20x20ptsdet_1_13_13    -274    -240    -96    -931    -1670    -2196    -4858
20230628_CVD_2546_60s_20x20ptsdet_1_13_14    -249    -194    -96    -921    -1679    -2174    -4795
20230628_CVD_2546_60s_20x20ptsdet_1_13_15    -239    -187    -60    -859    -1680    -2194    -4869
20230628_CVD_2546_60s_20x20ptsdet_1_13_16    -267    -228    -87    -951    -1763    -2290    -4966
20230628_CVD_2546_60s_20x20ptsdet_1_13_17    -266    -223    -76    -900    -1674    -2131    -4892
20230628_CVD_2546_60s_20x20ptsdet_1_13_18    -269    -227    -88    -904    -1755    -2245    -4880
20230628_CVD_2546_60s_20x20ptsdet_1_13_19    -265    -222    -70    -957    -1664    -2211    -4908
20230628_CVD_2546_60s_20x20ptsdet_1_13_2     -249    -204    -82    -969    -1786    -2298    -4993
20230628_CVD_2546_60s_20x20ptsdet_1_13_3     -244    -197    -65    -914    -1763    -2304    -4810
20230628_CVD_2546_60s_20x20ptsdet_1_13_4     -255    -210    -83    -950    -1683    -2193    -4833
20230628_CVD_2546_60s_20x20ptsdet_1_13_5     -270    -230    -82    -932    -1686    -2209    -4838
