"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;245194;10280.6;24180.2;1744.71;1023.03;500.612;81352.7;10826.6;3.38386;1057.32;1804.42;93.7243;190.498;371.462;546.68;231.387;160.594;53.3272;45.0853;45.2118;290.695;120.819;32.8093;109.432;111.079;21.8382;21.9339;24.1736;2.84124
0;1;784.724;699.03;616.051;416.67;132.42;102.799;1.90959;31.2256;739.917;463.93;471.078;29.8321;33.5387;71.6566;100.23;65.4878;62.0587;40.4733;42.1009;47.7391;53.466;63.4004;57.2848;118.626;154.527;28.0488;24.1273;21.6866;2.28553
1;0;247172;10075.5;24374.3;1659.16;1107.82;470.514;82073.5;10888.6;12.4634;1039.61;1912.08;80.686;242.998;388.268;551.037;232.359;161.74;52.7926;46.448;45.2682;292.986;121.406;33.3704;112.222;113.743;21.6786;23.7951;24.9434;3.14131
1;1;839.788;638.29;592.088;420.174;134.627;103.824;4.05501;31.715;826.272;427.162;504.033;22.5664;18.0183;66.6753;96.9299;68.5361;57.6438;40.2957;41.842;48.3967;55.5199;64.5595;51.7048;135.364;169.952;30.5069;26.0667;22.9854;2.29403
2;0;245998;10013.5;24998.3;1800.21;1075.17;441.631;81980.9;11256;1.77385;1235.7;1676.87;104.299;206.183;432.346;551.475;233.128;163.708;54.5347;46.1904;44.7704;292.542;122.12;33.2945;112.152;113.127;21.2555;22.3682;25.5589;3.03366
2;1;773.544;695.305;618.741;431.327;110.424;145.147;43.0273;32.6982;728.473;471.579;484.212;47.4663;64.4244;105.363;98.3674;77.3274;61.9421;44.9445;41.2719;50.1974;54.5548;63.3114;57.5089;121.345;155.254;25.2606;24.0165;23.1828;2.34957
3;0;244793;9923.96;24171.9;1783.25;1140.89;471.668;82100.1;10860.6;10.318;1067.16;1907.85;60.5441;173.602;422.63;550.026;228.847;160.934;54.0495;46.5532;44.1974;292.462;120.843;32.4775;111.909;113.668;20.6724;20.9227;25.1615;3.19076
3;1;769.05;689.229;608.35;416.029;125.704;152.05;52.5573;34.4054;690.757;457.171;473.297;37.1976;46.0643;86.8336;94.7807;71.621;58.6499;43.2721;41.9056;50.3002;54.5917;63.3573;52.5478;124.061;154.393;26.8709;23.8464;22.0106;2.32228
4;0;244025;10425.7;24478.8;1747.98;1228.67;400.708;82598.9;11346;10.878;1158.18;1872.01;96.0583;128.905;392.202;551.069;227.86;161.73;53.8594;47.2336;43.5286;293.787;122.295;32.9276;111.433;112.702;20.954;20.4819;25.0796;3.29305
4;1;805.016;710.421;629.444;432.748;108.543;98.4797;29.539;28.1074;746.212;464.412;481.151;20.1658;51.7502;92.6427;82.3344;65.4205;49.334;38.371;40.3993;47.1188;54.5328;62.9924;45.7248;135.369;155.2;26.523;24.4675;22.3716;2.2318
5;0;244307;9910.87;24041.4;1854.18;1147.15;664.78;82760.8;11248.9;4.17972;1075.4;1796.42;48.2921;208.486;376.916;547.307;230.388;160.372;54.7141;46.4595;46.2407;293.086;122.212;32.6768;111.358;112.286;20.8278;22.1806;24.6257;3.01174
5;1;801.29;714.834;624.549;418.991;104.578;79.9609;3.28053;23.205;737.043;487.072;503.221;31.5182;40.6292;71.6147;79.8399;64.4726;45.0061;40.9431;40.3471;46.8892;53.9134;63.4249;42.2315;147.494;164.506;26.8184;23.6189;21.0605;2.40078
6;0;244395;9928.37;24485.3;1771.64;1108.77;583.56;82066.5;10896.3;14.6797;1404.89;1556.95;57.9001;175.382;387.068;557.799;230.228;161.991;54.0372;45.9197;44.91;293.07;121.01;32.6398;112.542;111.804;21.5407;22.2328;24.8247;2.99702
6;1;756.176;687.623;606.709;413.702;115.484;78.7063;8.2851;24.8759;644.242;450.115;469.426;42.0682;55.5635;93.0052;97.7833;64.8089;61.223;38.8347;41.4198;46.6242;53.098;62.6233;50.1681;120.083;153.4;27.4079;24.5991;23.191;2.28944
7;0;245335;10088;24380.3;1750.19;1158.32;415.485;81368.9;11415.5;7.49494;1223.68;1708.27;102.047;192.741;343.018;556.046;231.232;161.752;54.2914;46.4818;44.3907;292.085;122.805;33.7321;112.369;112.777;21.226;21.7021;23.663;3.19596
7;1;890.202;682.334;643.409;455.957;141.371;111.822;2.80288;28.3618;863.482;426.89;492.611;30.9135;40.8729;92.5258;95.1047;78.9997;58.8418;42.0434;39.9772;45.6469;51.523;59.8887;56.8082;147.119;161.132;22.4648;20.8443;20.4766;2.17378
8;0;244303;10101.6;24369.7;1781.62;1130.54;530.842;82075.6;11250.7;4.36288;1233.76;1743.29;111.335;187.32;382.348;557.815;230.256;161.63;53.7373;46.2056;44.7921;293.472;122.295;32.3317;111.769;112.526;22.5548;22.2065;24.669;2.94357
