CVD3496 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	158853	3627	158305	2776
Si	d2	Ka	166432	3802	165766	2764
Ga	d1	Ka	153197	5124	153912	4128
Ga	d2	Ka	156701	5382	157435	4400
Ga	d1	Kb	20774	737	20833	665
Ga	d2	Kb	21337	766	21456	619
Ga	d1	L	4682	141	4694	120
Ga	d2	L	4884	148	4897	128
P	d1	Ka	38750	975	38885	792
P	d2	Ka	39300	974	39430	804
