"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;172081;6961.86;35522;2405.11;1424.18;260.738;134932;18625.1;5.04738;1615.92;2755.39;112.704;178.516;398.59;465.892;199.68;195.864;65.112;49.4892;41.5559;380.796;151.712;31.6647;133.049;136.368;23.7219;23.6702;26.6128;2.62624
0;1;759.965;685.129;622.593;478.38;98.2645;48.9468;7.77132;8.56707;786.774;574.66;608.278;33.7083;72.0515;139.969;84.0544;67.7874;51.9331;42.6018;41.0007;45.9317;54.9557;68.5793;47.6058;157.919;182.353;30.2199;27.7519;27.0331;2.7234
1;0;169052;6543.51;35907.5;2693.41;1309.43;325.394;139643;19020.3;7.25269;1369.44;2863.02;106.422;229.916;516.676;451.755;197.836;196.553;67.6809;48.3703;42.9071;381.939;152.239;30.3506;131.083;135.807;24.785;25.7101;29.1941;2.79892
1;1;807.956;622.372;623.692;558.492;115.342;28.0214;7.38286;25.0034;815.218;451.703;548.17;100.057;30.5414;131.269;89.8595;72.2696;57.1211;50.8742;38.5479;43.5622;51.7436;62.1005;52.2655;174.68;202.345;34.5257;29.663;26.9775;2.35976
2;0;168146;6913.09;36670.9;2649.86;1233.91;157.676;141552;19437.5;3.06069;1683.27;2728.18;53.9363;203.158;354.954;453.772;199.277;198.958;66.962;48.4226;42.274;386.589;152.616;30.7409;132.895;135.903;19.6568;22.0776;24.0551;2.40876
2;1;736.154;643.784;582.744;428.529;72.0168;17.9956;17.634;18.0284;763.641;508.76;544.394;25.226;55.8321;109.624;71.0957;61.3471;42.5524;43.0424;39.6443;45.0727;52.9285;62.0933;38.9778;141.649;156.618;28.9269;26.1201;23.8731;2.34134
3;0;167421;7346.42;36789;2647.96;1313.3;183.594;142481;19689.2;54.8155;1473.93;2841.64;110.028;226.033;392.549;450.459;198.702;198.271;66.3705;48.6561;42.8062;387.071;152.598;30.443;130.815;134.613;22.342;23.0035;24.9368;2.67943
3;1;731.309;648.833;574.547;404.693;94.2991;51.6622;14.9923;6.89033;766.006;513.517;531.455;23.7569;27.4622;71.2185;84.2867;69.0887;51.364;40.4888;41.5442;47.2029;54.791;63.6793;50.9394;158.966;178.228;30.191;25.4139;22.4593;2.33556
4;0;165491;6988.57;37149;2745.84;1288.44;239.482;144553;19329.5;16.3833;1427.26;3008.78;53.3728;231.16;384.863;444.353;197.257;199.584;67.8643;48.4265;42.5264;390.783;153.136;29.3272;131.253;136.127;19.3843;22.8572;25.1685;2.51797
4;1;651.857;588.183;524.177;370.84;104.727;41.7751;18.2889;24.6509;697.966;493.549;515.758;52.2527;47.1869;88.0721;77.1879;63.1218;48.0866;37.6071;41.7214;46.2454;54.4246;64.8164;47.1027;160.203;179.176;31.6174;26.845;24.0116;2.24881
5;0;165591;6816.89;37263.1;2656.99;1265.53;235.085;145414;19643.4;76.4706;1451.03;2927.92;41.9838;252.006;402.713;450.149;198.16;199.819;66.9472;48.0063;42.9248;390.048;153.062;30.4381;131.991;136.236;21.2338;23.8616;25.7289;2.83086
5;1;694.596;619.336;544.365;374.81;81.2774;36.2679;8.40389;18.7571;707.347;485.93;505.292;35.5335;44.143;80.2401;79.7369;64.5196;47.4319;38.7869;41.0423;46.4999;54.1724;64.2545;45.6253;151.12;169.026;29.649;25.5422;22.913;2.2656
6;0;163769;6812.76;37141.7;2659.24;1243.56;283.716;146347;19818.5;1.20351;1434.6;2994.07;123.846;207.869;343.308;457.196;196.215;200.346;67.0099;47.7514;42.3405;396.227;154.305;29.3878;129.977;134.922;22.2953;22.8881;24.3622;2.67334
6;1;656.121;597.813;542.812;405.137;83.9827;35.4534;15.4295;24.5262;658.932;481.324;506.925;34.0273;59.5654;112.437;71.4224;58.708;47.3054;38.2186;40.4216;45.9379;53.5816;63.3229;39.9377;154.195;170.115;30.7667;27.3346;25.1141;2.22177
7;0;163772;6937.28;37848.1;2572.46;1412.22;235.113;146872;19851.8;14.7596;1363.62;3034.81;71.0916;239.643;393.337;440.799;198.563;201.151;66.548;49.6431;41.9859;389.173;154.893;27.1023;130.167;135.355;19.6295;22.8175;25.1084;2.42698
7;1;705.229;625.388;567.663;417.841;105.569;34.9691;33.3546;16.9901;709.259;469.255;496.284;33.0914;60.9242;111.487;85.7497;68.1489;53.6971;44.1868;40.1221;43.7086;52.5208;61.7165;50.8776;136.687;164.727;28.2806;25.8875;24.5408;2.26204
8;0;162119;6487.75;37505.2;2638.84;1384.32;191.818;146582;19532.6;4.84398;1662.1;2949.14;51.0823;246.965;400.845;450.836;197.007;201.345;67.2254;49.4695;41.0851;396.078;153.45;28.4687;135.902;139.973;18.9789;22.8623;25.0986;2.54195
8;1;682.364;618.692;556.323;403.909;71.2088;39.102;5.6032;22.7028;705.488;518.59;547.63;24.0098;42.976;91.5716;80.6138;62.1712;49.4045;38.3551;40.3046;46.1667;53.9065;63.9572;45.1996;153.959;176.005;27.7512;24.4628;22.5315;2.36948
9;0;162629;6580.57;37664.7;2709.47;1251.02;305.812;147519;19692.9;94.0779;1603.73;3057.26;36.7895;201.851;390.709;448.963;195.446;201.568;67.5285;47.5339;42.1214;396.615;154.69;29.0897;134.046;138.097;19.5995;22.1962;25.1407;2.70823
9;1;700.156;633.439;571.97;420.872;84.4657;30.7858;3.77122;21.0251;659.448;471.005;496.331;19.7627;47.5334;103.688;87.2452;64.6184;55.0493;40.6663;40.3004;45.3967;53.4194;63.6922;45.3923;138.795;164.8;27.0923;24.4611;23.3735;2.282
10;0;169624;6813.93;36072.3;2632.12;1398.98;317.548;139405;18911.7;3.34225;1567.31;2746.05;76.4231;188.668;380.334;455.372;200.257;197.001;66.8268;49.0891;42.4735;382.599;153.404;31.4678;133.354;136.384;23.3161;23.6495;25.9395;2.6591
10;1;721.335;651.99;576.441;405.387;110.595;34.9812;7.07893;13.4212;737.209;561.942;598.01;46.4035;63.7444;106.161;80.9536;65.8415;48.6883;38.5423;41.0954;45.3966;55.3269;69.64;45.3058;171.988;192.786;31.2822;27.5802;25.3618;2.61457
11;0;163936;6675.56;36995.7;2767.47;1405.03;318.151;145885;19864.8;8.20476;1598.12;2952.3;97.3859;244.065;417.842;451.206;197.804;199.732;68.1747;49.1251;42.4344;393.891;154.196;29.6605;133.438;137.348;21.7189;23.7817;25.8511;2.88402
11;1;722.221;648.955;578.447;414.269;125.508;43.5119;26.463;17.8397;707.076;503.925;531.148;23.531;47.889;90.8544;82.2436;71.7317;49.8892;40.8236;40.1587;45.2757;53.9348;64.2372;48.9448;166.921;179.986;29.3087;25.9327;23.4635;2.44843
12;0;162711;6480.58;38134.6;2748.23;1363.14;230.299;146572;19555.7;68.8056;1711.6;2659.74;67.8876;211.605;324.968;440.327;196.693;202.171;68.4968;48.8719;41.8525;392.128;153.921;29.7687;132.593;135.08;22.2339;23.9783;24.8051;2.39694
12;1;733.536;568.764;546.327;453.224;142.121;64.5066;2.59902;18.7114;771.866;424.272;507.245;74.2464;34.3178;103.367;87.7683;70.9649;55.2078;46.6351;41.9814;46.2687;54.5727;65.1367;50.7398;148.027;177.264;34.0901;29.3873;26.755;2.31284
13;0;160677;6896.79;37905.4;2712.09;1371.02;221.236;148628;20051.8;2.42268;1522.38;2952.56;146.452;251.011;338.112;443.576;195.483;201.799;67.827;49.29;42.1806;396.188;154.987;29.5363;130.732;134.922;22.4088;23.8902;23.6764;2.4516
13;1;674.641;607.423;542.518;392.192;52.1331;13.807;13.9118;11.4761;696.793;493.406;518.128;12.8185;34.0979;82.4365;80.1739;61.792;49.6189;38.1508;39.7328;45.8387;54.4587;63.5787;47.1555;133.852;161.952;26.8018;23.6511;21.8444;2.25712
14;0;160319;6595;37688.4;2695.98;1303.39;214.401;147575;19896.5;3.69176;1693.65;3023.18;88.9355;195.641;323.08;448.67;194.723;201.909;67.8916;48.5267;41.5053;399.332;155.387;29.283;133.741;137.509;21.6131;22.0656;23.6218;2.43148
14;1;684.671;629.951;576.816;433.819;85.6785;25.5268;27.1737;10.85;631.392;467.322;494.977;15.5584;48.8803;110.422;83.1272;68.1463;54.8784;43.077;40.5647;45.4841;54.5828;63.6727;45.702;144.341;164.152;26.6056;24.5257;23.4826;2.25755
15;0;159344;6830.52;38013.2;2783.06;1368.02;233.36;148718;20182.4;39.0713;1521.2;3051.35;61.1895;237.965;366.624;436.74;191.555;202.135;68.4249;49.1693;41.3978;393.357;154.916;26.2512;130.95;135.74;20.2014;23.0165;24.7753;2.49717
15;1;687.378;616.505;545.387;381.283;84.3117;44.1547;15.9858;10.3132;691.601;493.99;519.238;22.8808;58.0901;97.0138;83.1248;70.4556;51.4729;45.3069;40.3891;45.9269;54.3085;63.9716;48.1526;175.194;198.07;26.8768;25.0722;23.8275;2.35474
16;0;158826;6375.63;37877.7;2811.31;1325.52;185.192;150793;20209.3;40.1979;1560.57;2927.69;97.1118;200.316;293.53;436.695;193.061;201.676;68.8266;48.7328;41.9185;399.119;155.645;29.1245;133.924;137.813;22.2757;23.3768;23.7967;2.47143
16;1;679.986;605.56;536.948;380.95;110.408;39.7883;13.0477;21.8155;744.264;517.916;539.777;34.4114;68.5533;110.365;78.9433;65.8042;48.6417;39.8476;41.4583;45.6716;53.9272;63.9475;48.6047;161.785;181.55;30.1909;27.2188;25.7172;2.36871
17;0;159372;6334.44;38267.3;2817.71;1265.19;172.325;149925;20052.8;6.5641;1593.81;3033.02;45.5095;238.586;400.662;438.78;194.476;202.675;69.2351;48.1285;42.5783;396.595;155.379;29.6397;133.812;137.937;21.4283;23.8036;25.6583;2.56966
17;1;702;639.256;585.57;437.73;69.2482;13.1571;24.2124;21.6021;694.934;477.663;496.962;27.4906;48.7589;106.792;83.0642;56.9953;53.5598;35.2691;39.8365;45.3263;54.1011;63.2502;45.2096;128.723;156.773;27.9645;25.0584;23.5782;2.25577
18;0;159997;6881.22;38280;2916.49;1430.21;172.513;152221;20991.7;44.3282;1706.98;2893.54;42.9853;221.238;376.167;439.472;195.542;202.672;69.568;49.2906;42.3169;399.103;157.142;29.3823;133.461;136.722;20.8517;23.0567;25.2654;2.80489
18;1;705.132;641.874;588.189;439.004;79.0423;43.9284;12.9234;21.6311;696.19;478.83;501.504;24.2197;45.1868;100.544;81.9058;71.4836;52.5526;47.7149;39.9165;45.8595;53.4318;63.4145;48.0301;128.519;152.266;28.1745;25.264;23.3709;2.29625
19;0;159829;6699;38510.6;2877.67;1351.95;264.654;151979;20686.2;3.61743;1681.8;2854.71;45.1076;247.099;329.127;440.005;198.026;203.583;69.7048;48.613;42.0439;398.837;156.428;28.1042;134.54;137.979;19.8319;23.1056;23.6087;2.6571
19;1;712.36;552.453;526.377;415.408;116.379;59.4121;8.55973;19.342;753.473;403.288;484.351;9.28762;40.8489;101.603;84.9885;66.7555;51.6063;41.848;40.7187;43.3681;50.692;60.0276;51.9547;152.401;176.049;26.4961;24.1677;23.5476;2.2926
20;0;164895;6590.76;37052.6;2759.54;1304.04;232.933;145461;19331.1;7.81183;1484.47;3019.75;86.0008;230.686;311.964;448.617;195.893;200.071;68.8082;48.714;43.2477;394.244;154.943;31.613;135.261;139.626;22.1769;23.955;24.3014;2.52528
20;1;761.263;678.726;609.147;451.872;72.5998;15.0634;14.0439;12.9737;805.789;563.961;589.897;40.9186;65.5485;123.245;83.377;71.8458;51.1052;46.634;40.8104;46.8734;56.4428;69.3258;49.014;145.327;170.229;30.1991;27.3824;25.7642;2.62858
21;0;162414;6489.91;37789;2729.29;1337.24;258.941;148315;20286.1;47.0264;1758.06;2750.62;58.3404;218.901;353.832;441.971;197.463;201.362;68.3899;48.7504;42.9136;394.023;156.005;30.84;133.961;137.525;21.7626;23.3051;24.8252;2.58513
21;1;733.034;648.009;586.146;432.396;74.7352;30.8827;12.9643;14.5086;772.56;517.872;544.785;37.7935;56.8272;113.111;61.5151;54.2265;37.6464;38.5152;37.7307;42.7159;50.1878;59.1639;37.2038;151.65;164.134;26.7542;23.3919;21.5913;2.45214
22;0;160438;6685.52;38390.3;2754.17;1225.79;359.719;151421;20604.7;38.4991;1575.93;3113.23;18.0325;182.277;327.961;441.3;196.211;202.889;68.4513;47.125;43.7067;398.168;156.111;30.1539;133.226;137.913;18.8725;21.9363;24.4249;2.85656
22;1;716.192;638.251;572.656;418.453;104.578;43.1243;12.9836;9.54901;763.77;516.43;535.794;30.0729;68.2355;116.845;82.1708;66.6394;51.3543;40.2552;41.1466;45.3481;53.9875;64.0516;50.7248;152.893;175.152;28.6113;26.3169;25.4131;2.36908
23;0;160787;6235.37;38579.6;2690.34;1388.72;334.98;151208;20305.4;12.6317;1621.1;2966.81;79.3751;257.768;403.355;439.208;190.613;202.812;67.3086;48.8721;42.5872;396.962;155.738;29.5583;132.917;137.051;22.0181;23.6227;25.0681;2.96052
23;1;696.215;620.506;556.866;404.421;147.241;66.1072;7.18685;22.4879;745.892;501.563;522.747;35.6915;54.4357;100.793;80.9598;67.1622;51.2938;42.755;42.9522;45.6313;53.2291;64.2306;50.496;162.507;185.017;28.8937;25.8816;24.2567;2.40361
24;0;158828;6245.65;38706.7;2752.03;1321.36;316.937;153059;20522.2;50.312;1695.48;2996.66;90.2621;232.554;379.498;436.747;191.208;203.763;68.8704;48.1668;43.6334;400.134;157.011;29.7238;135.474;139.444;22.186;23.7546;25.6587;2.81516
