ROI net sum

Spectrum                                    Si     P   Ar   Ni    Zn    Ga   Rh
-------------------------------------------------------------------------------
20230623_CVD_2566_60s_10x10ptsdet_1_0_0 230271 23158  217 1064   356 75434 7125
20230623_CVD_2566_60s_10x10ptsdet_1_0_1 231767 23450  235 1033   293 75956 7022
20230623_CVD_2566_60s_10x10ptsdet_1_0_2 230718 23973  278 1037   356 75760 7132
20230623_CVD_2566_60s_10x10ptsdet_1_0_3 229712 23239  260 1123   458 75950 7056
20230623_CVD_2566_60s_10x10ptsdet_1_0_4 229319 23538  267 1182   343 76369 7133
20230623_CVD_2566_60s_10x10ptsdet_1_0_5 228881 23100  257 1116   326 76380 6866
20230623_CVD_2566_60s_10x10ptsdet_1_0_6 229378 23518  221 1089   246 75872 6836
20230623_CVD_2566_60s_10x10ptsdet_1_0_7 230077 23454  248 1143   294 75347 6963
20230623_CVD_2566_60s_10x10ptsdet_1_0_8 229525 23463  236 1159   361 75850 7190
20230623_CVD_2566_60s_10x10ptsdet_1_0_9 229263 23757  235  962   306 75567 7075
20230623_CVD_2566_60s_10x10ptsdet_1_1_0 229230 23163  229 1097   401 75337 7140
20230623_CVD_2566_60s_10x10ptsdet_1_1_1 230167 23232  273 1008   259 75539 7205
20230623_CVD_2566_60s_10x10ptsdet_1_1_2 229674 23399  267 1013   328 75318 7071
20230623_CVD_2566_60s_10x10ptsdet_1_1_3 230130 23484  236 1067   491 75246 7318
20230623_CVD_2566_60s_10x10ptsdet_1_1_4 230137 23834  235 1080   392 75599 7055
20230623_CVD_2566_60s_10x10ptsdet_1_1_5 228726 23524  273 1047   448 75761 7109
20230623_CVD_2566_60s_10x10ptsdet_1_1_6 230029 23399  255 1038   351 76016 7048
20230623_CVD_2566_60s_10x10ptsdet_1_1_7 230078 23444  224 1113   315 76101 7051
20230623_CVD_2566_60s_10x10ptsdet_1_1_8 229878 23375  270 1060   263 75675 7092
20230623_CVD_2566_60s_10x10ptsdet_1_1_9 230083 23680  266 1031   324 75561 6739
20230623_CVD_2566_60s_10x10ptsdet_1_2_0 229956 23470  263 1121   245 74989 7088
20230623_CVD_2566_60s_10x10ptsdet_1_2_1 230104 23294  248 1091   326 75589 7256
20230623_CVD_2566_60s_10x10ptsdet_1_2_2 230217 23570  241 1084   318 74921 7019
20230623_CVD_2566_60s_10x10ptsdet_1_2_3 230777 23455  262 1014   283 75628 6890
20230623_CVD_2566_60s_10x10ptsdet_1_2_4 230153 23525  251 1046   294 76070 7035
20230623_CVD_2566_60s_10x10ptsdet_1_2_5 230371 23431  252 1075   311 75425 7010
20230623_CVD_2566_60s_10x10ptsdet_1_2_6 229694 23404  258 1153   323 75763 6961
20230623_CVD_2566_60s_10x10ptsdet_1_2_7 229428 23287  229 1153   309 75189 6979
20230623_CVD_2566_60s_10x10ptsdet_1_2_8 229390 23422  274 1090   389 75723 7106
20230623_CVD_2566_60s_10x10ptsdet_1_2_9 228969 23231  273 1206   334 75876 7098
20230623_CVD_2566_60s_10x10ptsdet_1_3_0 229596 23254  265 1044   258 75838 7152
20230623_CVD_2566_60s_10x10ptsdet_1_3_1 229973 23588  238  995   446 75594 7222
20230623_CVD_2566_60s_10x10ptsdet_1_3_2 229660 23534  268 1075   408 75480 6984
20230623_CVD_2566_60s_10x10ptsdet_1_3_3 229352 23488  250 1069   351 75524 7217
20230623_CVD_2566_60s_10x10ptsdet_1_3_4 229548 23416  228  970   345 75260 6998
20230623_CVD_2566_60s_10x10ptsdet_1_3_5 229752 23452  259 1073   327 75280 7057
20230623_CVD_2566_60s_10x10ptsdet_1_3_6 229395 23333  299 1063   360 75390 7076
20230623_CVD_2566_60s_10x10ptsdet_1_3_7 230217 23298  252 1081   370 75678 7263
20230623_CVD_2566_60s_10x10ptsdet_1_3_8 229187 23482  245 1093   307 75061 6803
20230623_CVD_2566_60s_10x10ptsdet_1_3_9 230396 23207  249 1081   358 75084 6959
20230623_CVD_2566_60s_10x10ptsdet_1_4_0 228671 23467  279 1073   332 75157 7255
20230623_CVD_2566_60s_10x10ptsdet_1_4_1 229902 23485  239  968   270 75598 6974
20230623_CVD_2566_60s_10x10ptsdet_1_4_2 229796 23155  240  999   343 75486 7037
20230623_CVD_2566_60s_10x10ptsdet_1_4_3 229807 23091  221 1090   499 75529 7328
20230623_CVD_2566_60s_10x10ptsdet_1_4_4 229473 23567  252 1016   371 75497 7256
20230623_CVD_2566_60s_10x10ptsdet_1_4_5 228885 23446  229 1096   343 75039 7200
20230623_CVD_2566_60s_10x10ptsdet_1_4_6 230528 23207  259 1042   320 75426 6948
20230623_CVD_2566_60s_10x10ptsdet_1_4_7 230458 23389  239 1024   266 75777 7326
20230623_CVD_2566_60s_10x10ptsdet_1_4_8 229222 23293  228 1079   356 75181 7070
20230623_CVD_2566_60s_10x10ptsdet_1_4_9 230208 23244  230 1177   400 75751 7206
