ROI backgr, sum

Spectrum                                     Si       P     Ar       Ni       Zn       Ga       Rh
20230607_CVD_2546_60s_10x10ptsdet_1_5_8    -251    -212    -80    -1039    -1663    -2095    -4365
20230607_CVD_2546_60s_10x10ptsdet_1_5_9    -254    -220    -88     -949    -1607    -2091    -4363
20230607_CVD_2546_60s_10x10ptsdet_1_6_0    -256    -212    -75    -1010    -1634    -2056    -4887
20230607_CVD_2546_60s_10x10ptsdet_1_6_1    -260    -221    -96    -1001    -1676    -2154    -4647
20230607_CVD_2546_60s_10x10ptsdet_1_6_2    -260    -217    -76    -1017    -1689    -2108    -4625
20230607_CVD_2546_60s_10x10ptsdet_1_6_3    -232    -188    -77     -972    -1593    -1911    -4629
20230607_CVD_2546_60s_10x10ptsdet_1_6_4    -232    -183    -61     -990    -1583    -1997    -4629
20230607_CVD_2546_60s_10x10ptsdet_1_6_5    -250    -210    -78     -952    -1592    -2022    -4510
20230607_CVD_2546_60s_10x10ptsdet_1_6_6    -250    -202    -68     -969    -1504    -1912    -4529
20230607_CVD_2546_60s_10x10ptsdet_1_6_7    -234    -195    -57     -940    -1528    -2009    -4614
20230607_CVD_2546_60s_10x10ptsdet_1_6_8    -239    -197    -76     -989    -1600    -2033    -4531
20230607_CVD_2546_60s_10x10ptsdet_1_6_9    -252    -197    -53     -989    -1635    -2058    -4509
20230607_CVD_2546_60s_10x10ptsdet_1_7_0    -236    -185    -58    -1011    -1625    -2126    -4919
20230607_CVD_2546_60s_10x10ptsdet_1_7_1    -253    -212    -82     -935    -1614    -2034    -4681
20230607_CVD_2546_60s_10x10ptsdet_1_7_2    -242    -202    -58     -987    -1530    -2050    -4728
20230607_CVD_2546_60s_10x10ptsdet_1_7_3    -254    -205    -59    -1010    -1645    -2064    -4647
20230607_CVD_2546_60s_10x10ptsdet_1_7_4    -249    -210    -62     -984    -1631    -2050    -4601
20230607_CVD_2546_60s_10x10ptsdet_1_7_5    -247    -206    -66    -1033    -1699    -2035    -4529
20230607_CVD_2546_60s_10x10ptsdet_1_7_6    -249    -205    -79    -1021    -1653    -2095    -4485
20230607_CVD_2546_60s_10x10ptsdet_1_7_7    -238    -194    -81     -981    -1567    -2047    -4643
20230607_CVD_2546_60s_10x10ptsdet_1_7_8    -232    -194    -80     -957    -1455    -1989    -4677
20230607_CVD_2546_60s_10x10ptsdet_1_7_9    -243    -194    -74    -1013    -1620    -2025    -4635
20230607_CVD_2546_60s_10x10ptsdet_1_8_0    -253    -224   -104     -939    -1553    -1984    -4996
20230607_CVD_2546_60s_10x10ptsdet_1_8_1    -246    -201    -58    -1001    -1691    -2071    -4693
20230607_CVD_2546_60s_10x10ptsdet_1_8_2    -233    -189    -63     -982    -1526    -1950    -4583
20230607_CVD_2546_60s_10x10ptsdet_1_8_3    -251    -209    -62     -951    -1501    -1990    -4619
20230607_CVD_2546_60s_10x10ptsdet_1_8_4    -246    -202    -56     -985    -1623    -2051    -4513
20230607_CVD_2546_60s_10x10ptsdet_1_8_5    -257    -216    -77    -1014    -1632    -2002    -4611
20230607_CVD_2546_60s_10x10ptsdet_1_8_6    -234    -190    -90     -998    -1662    -2101    -4690
20230607_CVD_2546_60s_10x10ptsdet_1_8_7    -252    -213    -72    -1009    -1646    -2114    -4592
20230607_CVD_2546_60s_10x10ptsdet_1_8_8    -238    -196    -66     -973    -1674    -2144    -4579
20230607_CVD_2546_60s_10x10ptsdet_1_8_9    -249    -209    -75     -964    -1627    -2056    -4623
20230607_CVD_2546_60s_10x10ptsdet_1_9_0    -248    -214    -85    -1011    -1663    -2039    -5064
20230607_CVD_2546_60s_10x10ptsdet_1_9_1    -234    -181    -67    -1006    -1663    -2087    -4766
20230607_CVD_2546_60s_10x10ptsdet_1_9_2    -240    -180    -77    -1013    -1669    -2140    -4810
20230607_CVD_2546_60s_10x10ptsdet_1_9_3    -246    -202    -80     -962    -1656    -2101    -4762
20230607_CVD_2546_60s_10x10ptsdet_1_9_4    -242    -208    -88     -967    -1674    -2135    -4584
20230607_CVD_2546_60s_10x10ptsdet_1_9_5    -241    -192    -82     -924    -1462    -1939    -4722
20230607_CVD_2546_60s_10x10ptsdet_1_9_6    -246    -206    -71     -972    -1582    -2045    -4718
20230607_CVD_2546_60s_10x10ptsdet_1_9_7    -242    -206    -87     -972    -1655    -2141    -4658
20230607_CVD_2546_60s_10x10ptsdet_1_9_8    -231    -185    -89     -993    -1661    -2021    -4808
20230607_CVD_2546_60s_10x10ptsdet_1_9_9    -251    -211    -78     -926    -1494    -1777    -4743
20230607_CVD_2546_60s_10x10ptsdet_2_0_0    -266    -231    -79     -945    -1552    -2053    -4987
20230607_CVD_2546_60s_10x10ptsdet_2_0_1    -270    -229    -61    -1026    -1725    -2220    -4582
20230607_CVD_2546_60s_10x10ptsdet_2_0_2    -262    -218    -63    -1016    -1791    -2198    -4538
20230607_CVD_2546_60s_10x10ptsdet_2_0_3    -256    -217    -71    -1020    -1777    -2200    -4548
20230607_CVD_2546_60s_10x10ptsdet_2_0_4    -236    -180    -56    -1054    -1739    -2207    -4547
20230607_CVD_2546_60s_10x10ptsdet_2_0_5    -242    -188    -70    -1063    -1689    -2108    -4500
20230607_CVD_2546_60s_10x10ptsdet_2_0_6    -266    -219    -78    -1003    -1711    -2215    -4538
20230607_CVD_2546_60s_10x10ptsdet_2_0_7    -236    -191    -82    -1010    -1773    -2264    -4539
20230607_CVD_2546_60s_10x10ptsdet_2_0_8    -246    -205    -81     -999    -1721    -2167    -4482
20230607_CVD_2546_60s_10x10ptsdet_2_0_9    -259    -221    -68    -1030    -1726    -2120    -4522
20230607_CVD_2546_60s_10x10ptsdet_2_1_0    -264    -222    -70    -1013    -1620    -2090    -4961
20230607_CVD_2546_60s_10x10ptsdet_2_1_1    -257    -208    -76    -1016    -1757    -2194    -4604
20230607_CVD_2546_60s_10x10ptsdet_2_1_2    -253    -211    -75     -960    -1610    -2173    -4511
20230607_CVD_2546_60s_10x10ptsdet_2_1_3    -261    -212    -71    -1014    -1750    -2173    -4627
20230607_CVD_2546_60s_10x10ptsdet_2_1_4    -275    -232    -79    -1106    -1839    -2257    -4682
20230607_CVD_2546_60s_10x10ptsdet_2_1_5    -260    -217    -71    -1068    -1829    -2130    -4602
20230607_CVD_2546_60s_10x10ptsdet_2_1_6    -241    -202    -79    -1074    -1843    -2291    -4589
20230607_CVD_2546_60s_10x10ptsdet_2_1_7    -266    -220    -81    -1056    -1757    -2251    -4606
20230607_CVD_2546_60s_10x10ptsdet_2_1_8    -254    -205    -75    -1050    -1746    -2178    -4635
20230607_CVD_2546_60s_10x10ptsdet_2_1_9    -255    -213    -93    -1038    -1806    -2241    -4651
20230607_CVD_2546_60s_10x10ptsdet_2_2_0    -273    -229    -87    -1056    -1788    -2322    -5094
20230607_CVD_2546_60s_10x10ptsdet_2_2_1    -262    -212    -64    -1022    -1785    -2290    -4690
20230607_CVD_2546_60s_10x10ptsdet_2_2_2    -268    -231    -76    -1075    -1820    -2265    -4665
20230607_CVD_2546_60s_10x10ptsdet_2_2_3    -245    -198    -69    -1084    -1826    -2263    -4560
20230607_CVD_2546_60s_10x10ptsdet_2_2_4    -241    -200    -67    -1047    -1781    -2284    -4587
20230607_CVD_2546_60s_10x10ptsdet_2_2_5    -242    -191    -56    -1048    -1763    -2205    -4587
20230607_CVD_2546_60s_10x10ptsdet_2_2_6    -253    -215    -62    -1012    -1687    -2274    -4613
20230607_CVD_2546_60s_10x10ptsdet_2_2_7    -259    -202    -64     -991    -1638    -2169    -4538
20230607_CVD_2546_60s_10x10ptsdet_2_2_8    -262    -217    -65    -1021    -1731    -2291    -4551
20230607_CVD_2546_60s_10x10ptsdet_2_2_9    -265    -234    -74    -1050    -1874    -2368    -4611
20230607_CVD_2546_60s_10x10ptsdet_2_3_0    -272    -223    -77    -1003    -1663    -2093    -5045
20230607_CVD_2546_60s_10x10ptsdet_2_3_1    -251    -194    -68    -1058    -1843    -2227    -4743
20230607_CVD_2546_60s_10x10ptsdet_2_3_2    -266    -226    -76    -1081    -1884    -2298    -4699
20230607_CVD_2546_60s_10x10ptsdet_2_3_3    -255    -220    -89     -991    -1737    -2267    -4605
20230607_CVD_2546_60s_10x10ptsdet_2_3_4    -247    -205    -76    -1001    -1710    -2170    -4512
20230607_CVD_2546_60s_10x10ptsdet_2_3_5    -249    -203    -75     -995    -1650    -2133    -4576
20230607_CVD_2546_60s_10x10ptsdet_2_3_6    -255    -206    -86     -977    -1635    -2100    -4486
20230607_CVD_2546_60s_10x10ptsdet_2_3_7    -275    -240    -88    -1047    -1726    -2261    -4619
20230607_CVD_2546_60s_10x10ptsdet_2_3_8    -243    -186    -82    -1019    -1744    -2146    -4515
20230607_CVD_2546_60s_10x10ptsdet_2_3_9    -246    -202    -65    -1015    -1796    -2229    -4449
20230607_CVD_2546_60s_10x10ptsdet_2_4_0    -248    -205    -92    -1090    -1866    -2327    -4987
20230607_CVD_2546_60s_10x10ptsdet_2_4_1    -270    -200    -63    -1067    -1791    -2100    -4710
20230607_CVD_2546_60s_10x10ptsdet_2_4_2    -266    -228    -84     -978    -1746    -2235    -4577
20230607_CVD_2546_60s_10x10ptsdet_2_4_3    -266    -228    -84    -1084    -1816    -2161    -4591
20230607_CVD_2546_60s_10x10ptsdet_2_4_4    -255    -207    -70    -1024    -1805    -2194    -4678
20230607_CVD_2546_60s_10x10ptsdet_2_4_5    -257    -217    -73    -1094    -1838    -2269    -4574
20230607_CVD_2546_60s_10x10ptsdet_2_4_6    -268    -228    -68    -1066    -1812    -2318    -4582
20230607_CVD_2546_60s_10x10ptsdet_2_4_7    -269    -225    -73    -1062    -1767    -2118    -4567
20230607_CVD_2546_60s_10x10ptsdet_2_4_8    -235    -189    -51    -1050    -1828    -2214    -4575
20230607_CVD_2546_60s_10x10ptsdet_2_4_9    -237    -184    -56    -1066    -1820    -2274    -4580
20230607_CVD_2546_60s_10x10ptsdet_2_5_0    -266    -219    -80    -1064    -1851    -2316    -4942
20230607_CVD_2546_60s_10x10ptsdet_2_5_1    -247    -210    -77    -1042    -1754    -2256    -4577
20230607_CVD_2546_60s_10x10ptsdet_2_5_2    -267    -218    -81    -1062    -1825    -2308    -4580
20230607_CVD_2546_60s_10x10ptsdet_2_5_3    -258    -216    -64    -1048    -1786    -2258    -4394
20230607_CVD_2546_60s_10x10ptsdet_2_5_4    -278    -239    -79    -1003    -1696    -2149    -4667
20230607_CVD_2546_60s_10x10ptsdet_2_5_5    -248    -202    -58    -1008    -1748    -2200    -4529
20230607_CVD_2546_60s_10x10ptsdet_2_5_6    -259    -212    -75    -1051    -1723    -2101    -4625
