CVD2555 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	308769	2221	308724	1993
Si	d2	Ka	321973	2233	322082	2119
Ga	d1	Ka	36071	353	36062	329
Ga	d2	Ka	36816	378	36820	330
Ga	d1	Kb	4951	117	4945	106
Ga	d2	Kb	5020	152	5011	135
Ga	d1	L	1419	64	1416	60
Ga	d2	L	1463	59	1463	56
P	d1	Ka	11625	150	11616	131
P	d2	Ka	11709	136	11700	121
