CVD2546 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	221081	1309	221250	1106
Si	d2	Ka	230495	1321	230603	1177
Ga	d1	Ka	96378	654	96396	571
Ga	d2	Ka	98254	636	98270	567
Ga	d1	Kb	12995	170	12997	145
Ga	d2	Kb	13303	196	13297	174
Ga	d1	L	3287	66	3287	57
Ga	d2	L	3388	77	3385	68
P	d1	Ka	27331	219	27342	199
P	d2	Ka	27589	223	27590	202
