All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.452360	1.123567	0.003440	2.953957	3.022594	
213.164581	1.801366	1.462253	1.145748	0.002967	3.020168	3.055785	
214.752319	1.796011	1.478573	1.168772	0.002497	3.089410	3.089487	
216.340134	1.790912	1.500863	1.192738	0.002132	3.160469	3.123678	
217.928055	1.786005	1.527371	1.217744	0.001848	3.232203	3.158371	
219.516022	1.781151	1.554803	1.243896	0.001397	3.305794	3.193607	
221.104050	1.776367	1.581864	1.271268	0.001173	3.387522	3.229531	
222.692169	1.771816	1.614482	1.300082	0.000950	3.482471	3.266649	
224.280350	1.767480	1.659887	1.331440	0.000729	3.590855	3.306002	
225.868576	1.763291	1.724442	1.368742	0.000510	3.709910	3.347950	
227.456879	1.759150	1.813703	1.417031	0.000293	3.834994	3.388365	
229.045258	1.755276	1.931749	1.476103	0.000079	3.958350	3.417338	
230.633713	1.751450	2.078651	1.535902	0.000000	4.072014	3.427399	
232.222244	1.747662	2.254817	1.583465	0.000000	4.168267	3.422007	
233.810822	1.743917	2.456047	1.613059	0.000000	4.234557	3.412525	
235.399445	1.740412	2.670322	1.628942	0.000000	4.263864	3.408360	
236.988159	1.736960	2.885544	1.637225	0.000000	4.255549	3.412519	
238.576935	1.733552	3.092731	1.642134	0.000000	4.213378	3.424280	
240.165741	1.730382	3.285258	1.645569	0.000000	4.140817	3.442288	
241.754639	1.727244	3.455464	1.648309	0.000000	4.043181	3.465570	
243.343597	1.724156	3.599771	1.650725	0.000000	3.929772	3.493745	
244.932617	1.721282	3.718125	1.653081	0.000000	3.807425	3.526508	
246.521698	1.718439	3.809966	1.655635	0.000000	3.682688	3.563881	
248.110840	1.715615	3.877755	1.658714	0.000000	3.564237	3.606118	
249.700027	1.712840	3.928031	1.662727	0.000000	3.458481	3.653296	
251.289276	1.710177	3.970243	1.668192	0.000000	3.368133	3.705624	
252.878616	1.707630	4.012236	1.675715	0.000000	3.289159	3.763267	
254.467972	1.705125	4.057262	1.685985	0.000000	3.217251	3.826319	
256.057404	1.702677	4.108469	1.699746	0.000000	3.148421	3.894793	
257.646881	1.700397	4.167708	1.717770	0.000000	3.074813	3.968604	
259.236420	1.698043	4.230273	1.740836	0.000000	2.988537	4.047571	
260.826019	1.695632	4.287527	1.769707	0.000000	2.885042	4.131420	
262.415680	1.693550	4.326817	1.805106	0.000000	2.767058	4.219814	
264.005371	1.691507	4.343187	1.847700	0.000000	2.646018	4.312377	
265.595154	1.689352	4.338562	1.898091	0.000000	2.530756	4.408767	
267.184967	1.687262	4.318142	1.956990	0.000000	2.427543	4.508855	
268.774811	1.685311	4.288484	2.025317	0.000000	2.337417	4.612829	
270.364716	1.683378	4.252752	2.104447	0.000000	2.259367	4.721065	
271.954681	1.681464	4.213141	2.197320	0.000000	2.192983	4.833691	
273.544739	1.679574	4.171889	2.309657	0.000000	2.137818	4.948874	
275.134796	1.677697	4.130891	2.444857	0.000000	2.092727	5.060009	
276.724915	1.675961	4.091363	2.602002	0.000000	2.056580	5.157740	
278.315063	1.674275	4.054330	2.773091	0.000000	2.028364	5.234608	
279.905273	1.672616	4.020842	2.946965	0.000000	2.006907	5.294608	
281.495544	1.670964	3.991459	3.122405	0.000000	1.990589	5.347751	
283.085876	1.669457	3.966105	3.309460	0.000000	1.977946	5.401219	
284.676208	1.667986	3.944285	3.524439	0.000000	1.967763	5.446385	
286.266602	1.666430	3.924992	3.769389	0.000000	1.959346	5.464629	
287.857056	1.664845	3.907525	4.033906	0.000000	1.952937	5.434958	
289.447571	1.663379	3.891795	4.295397	0.000000	1.948782	5.349046	
291.038086	1.661969	3.877932	4.531756	0.000000	1.946999	5.213264	
292.628662	1.660576	3.866269	4.724962	0.000000	1.947546	5.040545	
294.219299	1.659196	3.857085	4.871256	0.000000	1.949978	4.851742	
295.809967	1.657876	3.850295	4.974534	0.000000	1.953806	4.662869	
297.400665	1.656662	3.845620	5.042196	0.000000	1.958658	4.484626	
298.991394	1.655434	3.842550	5.082824	0.000000	1.964312	4.323081	
300.582214	1.654115	3.840370	5.105662	0.000000	1.971171	4.179348	
302.173035	1.652795	3.839093	5.116897	0.000000	1.980124	4.052912	
303.763916	1.651607	3.839254	5.121128	0.000000	1.991823	3.942152	
305.354797	1.650446	3.841707	5.121561	0.000000	2.006680	3.845023	
306.945740	1.649359	3.847766	5.120307	0.000000	2.024688	3.759509	
308.536743	1.648350	3.858596	5.118719	0.000000	2.044604	3.683820	
310.127747	1.647333	3.874122	5.117632	0.000000	2.064985	3.616173	
311.718811	1.646225	3.893653	5.117527	0.000000	2.084797	3.555275	
