CVD2802 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	345974	2801	346055	2694
Si	d2	Ka	361085	2849	361231	2685
Ga	d1	Ka	17999	233	17992	200
Ga	d2	Ka	18341	222	18349	180
Ga	d1	Kb	2467	123	2467	123
Ga	d2	Kb	2547	112	2539	105
Ga	d1	L	807	48	804	44
Ga	d2	L	905	62	900	57
P	d1	Ka	6028	86	6028	77
P	d2	Ka	6034	97	6029	85
