CVD2546 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	228111	1030	228141	874
Si	d2	Ka	237887	1039	237927	919
Ga	d1	Ka	99637	533	99636	481
Ga	d2	Ka	101321	522	101323	447
Ga	d1	Kb	12724	205	12718	178
Ga	d2	Kb	17275	273	17282	239
Ga	d1	L	3426	74	3427	63
Ga	d2	L	3545	85	3547	75
P	d1	Ka	28228	216	28227	181
P	d2	Ka	28505	204	28507	182
