CVD2566 Statistics, PyMca
Trim threshold: z >= 2
				trimmed	trimmed
Signal	Det.	Line	Avg	STD	avg	std
Si	d1	Ka	245134	874	245000	665
Si	d2	Ka	255752	899	255712	779
Ga	d1	Ka	81681	372	81651	302
Ga	d2	Ka	83455	392	83475	356
Ga	d1	Kb	11049	196	11050	168
Ga	d2	Kb	11353	167	11356	150
Ga	d1	L	2936	63	2940	55
Ga	d2	L	3106	69	3104	60
P	d1	Ka	24373	170	24367	149
P	d2	Ka	24569	187	24566	174
