"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;337800;13904.8;7119.8;501.144;1067.73;404.816;21407.1;2896.96;11.335;316.101;499.726;142.623;153.374;310.919;651.595;259.162;89.0541;31.5638;45.3455;42.2226;154.885;80.4181;34.3578;78.1304;77.2967;24.4614;22.0254;23.6093;2.29567
0;1;824.226;716.021;607.006;391.502;129.915;102.166;3.91703;13.1716;838.499;547.885;567.721;39.4057;52.8166;90.4295;88.9784;71.1279;50.7722;41.248;41.6351;47.1135;53.0738;65.0119;51.378;144.303;168.684;28.6893;25.3998;23.1874;2.73843
1;0;338729;13604.5;7311.22;528.326;1062.93;476.559;21801;2931.08;33.9961;236.839;739.62;79.3994;195.876;397.507;660.575;260.537;90.0707;31.5293;45.3702;43.4389;157.239;80.9446;37.9324;78.1092;78.695;21.9153;22.7225;24.9269;2.44068
1;1;853.381;738.739;632.254;421.698;158.329;127.678;20.585;23.9523;861.564;535.59;548.62;31.2352;63.7449;100.177;91.2738;73.9123;52.6937;41.9962;42.503;47.6409;52.3664;64.6445;54.7415;162.196;184.281;24.4696;23.43;22.5144;2.73009
2;0;341313;14158.6;7289.75;487.692;1020.6;429.235;22030.8;3048.98;18.2111;493.957;446.011;98.2211;227.264;339.882;662.426;261.496;89.8452;30.7765;45.022;43.0603;157.272;80.7562;36.4869;79.5916;77.2442;22.7892;22.8205;23.153;2.29995
2;1;849.333;737.5;621.915;389.723;135.035;113.266;2.27776;15.9506;836.93;525.216;535.871;41.1242;54.3935;81.571;93.1072;65.4826;52.9492;35.1071;42.3232;47.7566;52.5713;64.5684;53.3464;134.812;162.561;29.1133;25.632;23.1955;2.67546
3;0;340430;14387.1;7389.06;503.392;1045.1;532.087;21634.8;3000.66;17.1172;454.576;612.381;120.458;180.413;328.21;660.332;259.139;90.4678;31.2924;44.7267;43.8642;156.361;80.4697;36.0978;81.9847;80.385;23.6663;21.8257;23.336;2.77905
3;1;844.641;736.832;624.255;397.849;123.343;69.4928;2.41716;14.753;820.612;527.56;545.217;21.5084;45.01;75.9684;93.5403;75.237;52.8521;42.096;41.3112;46.1479;53.2153;64.6521;52.8748;139.618;166.306;27.5398;24.3816;22.2357;2.65597
4;0;339651;13895.5;7294.79;512.418;1021.13;448.177;21550.3;3279.76;4.08538;502.901;524.654;106.174;159.244;332.462;664.169;259.164;90.1066;31.6532;44.7841;43.2164;155.849;81.3041;37.069;81.6808;79.4677;22.4569;21.53;23.7446;2.45872
4;1;871.467;757.898;657.73;451.71;118.205;116.489;25.2615;15.844;899.214;549.369;558.29;30.715;61.4944;106.845;90.7649;72.3778;52.8479;43.4029;40.8435;47.5073;52.954;64.1683;55.3941;135.955;159.695;26.3116;24.4088;23.3616;2.7093
