ROI backgr, sum

Spectrum                                       Si       P     Ar      Ni       Zn       Ga      Rh
20230711_CVD_2546_60s_20x20ptsdet_1_12_0     -122     -93    -27    -959    -1687    -2041    -734
20230711_CVD_2546_60s_20x20ptsdet_1_12_1     -119     -92    -32   -1028    -1809    -2188    -822
20230711_CVD_2546_60s_20x20ptsdet_1_12_10    -125     -93    -17    -945    -1614    -2033    -775
20230711_CVD_2546_60s_20x20ptsdet_1_12_11    -122     -83    -11    -960    -1687    -2042    -736
20230711_CVD_2546_60s_20x20ptsdet_1_12_12    -141    -113    -27    -991    -1724    -2091    -758
20230711_CVD_2546_60s_20x20ptsdet_1_12_13    -127    -106    -29   -1050    -1758    -2156    -733
20230711_CVD_2546_60s_20x20ptsdet_1_12_14    -103     -74    -29    -956    -1648    -1999    -790
20230711_CVD_2546_60s_20x20ptsdet_1_12_15    -116     -87    -33    -949    -1614    -2075    -735
20230711_CVD_2546_60s_20x20ptsdet_1_12_16    -137    -103    -32    -928    -1724    -2120    -767
20230711_CVD_2546_60s_20x20ptsdet_1_12_17    -135    -107    -36    -991    -1699    -2089    -738
20230711_CVD_2546_60s_20x20ptsdet_1_12_18    -134     -97    -32    -983    -1650    -1967    -789
20230711_CVD_2546_60s_20x20ptsdet_1_12_19    -138    -114    -28    -939    -1694    -2119    -743
20230711_CVD_2546_60s_20x20ptsdet_1_12_2     -121     -86    -29    -949    -1637    -2029    -770
20230711_CVD_2546_60s_20x20ptsdet_1_12_3     -134    -109    -53    -986    -1730    -2086    -885
20230711_CVD_2546_60s_20x20ptsdet_1_12_4     -131    -100    -34    -986    -1626    -2022    -702
20230711_CVD_2546_60s_20x20ptsdet_1_12_5     -126     -95    -19    -983    -1665    -2019    -808
20230711_CVD_2546_60s_20x20ptsdet_1_12_6     -109     -83    -30   -1004    -1741    -2114    -745
20230711_CVD_2546_60s_20x20ptsdet_1_12_7     -134    -100    -35    -967    -1674    -2073    -799
20230711_CVD_2546_60s_20x20ptsdet_1_12_8     -131     -97    -21    -977    -1609    -1954    -796
20230711_CVD_2546_60s_20x20ptsdet_1_12_9     -139    -106    -38    -964    -1661    -2067    -775
20230711_CVD_2546_60s_20x20ptsdet_1_13_0     -141    -110    -38    -967    -1671    -2104    -747
20230711_CVD_2546_60s_20x20ptsdet_1_13_1     -135    -112    -39    -968    -1732    -2127    -750
20230711_CVD_2546_60s_20x20ptsdet_1_13_10    -126     -93    -25    -991    -1715    -2124    -772
20230711_CVD_2546_60s_20x20ptsdet_1_13_11    -137    -100    -34   -1005    -1741    -2151    -830
20230711_CVD_2546_60s_20x20ptsdet_1_13_12    -135    -109    -20   -1010    -1674    -2022    -790
20230711_CVD_2546_60s_20x20ptsdet_1_13_13    -135     -98    -38    -897    -1592    -1994    -731
20230711_CVD_2546_60s_20x20ptsdet_1_13_14    -124     -94    -22   -1042    -1771    -2120    -806
20230711_CVD_2546_60s_20x20ptsdet_1_13_15    -136    -108    -24   -1013    -1770    -2142    -768
20230711_CVD_2546_60s_20x20ptsdet_1_13_16    -125     -92    -13    -969    -1648    -1943    -787
20230711_CVD_2546_60s_20x20ptsdet_1_13_17    -130    -100    -29   -1010    -1764    -2138    -751
20230711_CVD_2546_60s_20x20ptsdet_1_13_18    -135    -104    -37   -1024    -1795    -2200    -728
20230711_CVD_2546_60s_20x20ptsdet_1_13_19    -130    -107    -34   -1033    -1768    -2152    -749
20230711_CVD_2546_60s_20x20ptsdet_1_13_2     -124     -98    -53    -954    -1669    -2057    -771
20230711_CVD_2546_60s_20x20ptsdet_1_13_3     -129    -102    -19    -956    -1649    -2062    -752
20230711_CVD_2546_60s_20x20ptsdet_1_13_4     -142    -115    -31    -969    -1708    -2067    -813
20230711_CVD_2546_60s_20x20ptsdet_1_13_5     -140    -106    -29    -985    -1748    -2147    -759
20230711_CVD_2546_60s_20x20ptsdet_1_13_6     -126     -84    -13    -988    -1718    -2079    -801
20230711_CVD_2546_60s_20x20ptsdet_1_13_7     -153    -120    -43   -1006    -1774    -2159    -689
20230711_CVD_2546_60s_20x20ptsdet_1_13_8     -138    -112    -28    -971    -1629    -2041    -772
20230711_CVD_2546_60s_20x20ptsdet_1_13_9     -144    -110    -16   -1014    -1758    -2128    -790
20230711_CVD_2546_60s_20x20ptsdet_1_14_0     -131     -98    -17    -964    -1572    -1964    -773
20230711_CVD_2546_60s_20x20ptsdet_1_14_1     -135    -113    -49   -1016    -1720    -2041    -755
20230711_CVD_2546_60s_20x20ptsdet_1_14_10    -139    -114    -29    -983    -1778    -2173    -741
