ROI net sum

Spectrum                                      Si     P   Ar   Ni    Zn    Ga   Rh
20230711_CVD_2546_60s_20x20ptsdet_1_12_14 201751 25248  245 1006   413 85093 2468
20230711_CVD_2546_60s_20x20ptsdet_1_12_15 204411 25748  254  980   342 85598 2566
20230711_CVD_2546_60s_20x20ptsdet_1_12_16 201927 25620  268 1053   331 85009 2612
20230711_CVD_2546_60s_20x20ptsdet_1_12_17 203131 25302  217 1028   344 85312 2499
20230711_CVD_2546_60s_20x20ptsdet_1_12_18 203670 25156  281 1033   439 85804 2600
20230711_CVD_2546_60s_20x20ptsdet_1_12_19 203182 25080  261 1059   401 84788 2548
20230711_CVD_2546_60s_20x20ptsdet_1_12_2  204487 25250  230 1005   556 85571 2476
20230711_CVD_2546_60s_20x20ptsdet_1_12_3  201734 25103  216  914   375 84976 2419
20230711_CVD_2546_60s_20x20ptsdet_1_12_4  202247 25181  268  976   458 84850 2545
20230711_CVD_2546_60s_20x20ptsdet_1_12_5  204122 25381  289  994   372 85451 2455
20230711_CVD_2546_60s_20x20ptsdet_1_12_6  202766 25416  254 1007   285 85668 2472
20230711_CVD_2546_60s_20x20ptsdet_1_12_7  204157 25558  264 1085   386 85988 2594
20230711_CVD_2546_60s_20x20ptsdet_1_12_8  201154 24929  273 1030   468 84908 2327
20230711_CVD_2546_60s_20x20ptsdet_1_12_9  202149 25146  257 1056   347 84481 2473
20230711_CVD_2546_60s_20x20ptsdet_1_13_0  202813 25041  233 1071   463 85403 2440
20230711_CVD_2546_60s_20x20ptsdet_1_13_1  203089 25081  238 1016   400 84809 2465
20230711_CVD_2546_60s_20x20ptsdet_1_13_10 204650 25299  272  963   320 86214 2542
20230711_CVD_2546_60s_20x20ptsdet_1_13_11 205327 25276  250  984   383 85898 2438
20230711_CVD_2546_60s_20x20ptsdet_1_13_12 204585 25260  254 1026   330 86302 2487
20230711_CVD_2546_60s_20x20ptsdet_1_13_13 203964 25537  259 1111   431 86006 2531
20230711_CVD_2546_60s_20x20ptsdet_1_13_14 204408 25779  269  932   280 85631 2482
20230711_CVD_2546_60s_20x20ptsdet_1_13_15 203220 25198  264 1019   335 85984 2594
20230711_CVD_2546_60s_20x20ptsdet_1_13_16 203483 25391  303 1007   426 86264 2582
20230711_CVD_2546_60s_20x20ptsdet_1_13_17 205791 25862  257 1046   417 86202 2642
20230711_CVD_2546_60s_20x20ptsdet_1_13_18 205370 25640  233 1088   275 86186 2586
20230711_CVD_2546_60s_20x20ptsdet_1_13_19 204253 25591  295  987   306 85922 2528
20230711_CVD_2546_60s_20x20ptsdet_1_13_2  204727 25568  240 1180   428 86058 2554
20230711_CVD_2546_60s_20x20ptsdet_1_13_3  206171 25488  263 1095   422 86591 2541
