All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
348.321960	1.626716	5.287058	5.478192	0.000000	0.969344	2.941857	
349.913727	1.626079	5.208828	5.520452	0.000000	0.863009	2.941573	
351.505493	1.625392	5.127058	5.568836	0.000000	0.781887	2.944403	
353.097321	1.624705	5.048490	5.625729	0.000000	0.721059	2.950624	
354.689148	1.624047	4.976641	5.694625	0.000000	0.675900	2.959714	
356.280975	1.623474	4.913466	5.777904	0.000000	0.641997	2.969819	
357.872864	1.622901	4.859627	5.882858	0.000000	0.615063	2.976306	
359.464752	1.622326	4.814362	6.008857	0.000000	0.590958	2.973300	
361.056641	1.621676	4.774741	6.160621	0.000000	0.566710	2.947463	
362.648560	1.621026	4.738081	6.329084	0.000000	0.542336	2.891906	
364.240509	1.620375	4.703221	6.505469	0.000000	0.518285	2.790610	
365.832458	1.619802	4.669524	6.673759	0.000000	0.494922	2.647725	
367.424438	1.619260	4.636631	6.813735	0.000000	0.472568	2.458580	
369.016418	1.618718	4.604379	6.919016	0.000000	0.451512	2.242430	
370.608429	1.618206	4.572789	6.973244	0.000000	0.432016	2.009657	
372.200470	1.617767	4.542092	6.986702	0.000000	0.414173	1.777787	
373.792480	1.617329	4.512450	6.959728	0.000000	0.397845	1.559561	
375.384521	1.616890	4.483919	6.903574	0.000000	0.382877	1.361493	
376.976593	1.616396	4.456521	6.828031	0.000000	0.369122	1.185566	
378.568665	1.615884	4.430255	6.738420	0.000000	0.356438	1.035435	
380.160736	1.615373	4.405107	6.642571	0.000000	0.344688	0.904950	
381.752838	1.614864	4.381038	6.543668	0.000000	0.333737	0.794338	
383.344940	1.614367	4.357981	6.444571	0.000000	0.323471	0.701055	
384.937073	1.613871	4.335872	6.346990	0.000000	0.313816	0.621250	
386.529175	1.613374	4.314665	6.252538	0.000000	0.304708	0.554772	
388.121307	1.612915	4.294317	6.161996	0.000000	0.296083	0.499205	
389.713440	1.612514	4.274788	6.075556	0.000000	0.287876	0.452196	
391.305603	1.612112	4.256032	5.993925	0.000000	0.280028	0.413049	
392.897766	1.611711	4.238000	5.917501	0.000000	0.272478	0.380703	
394.489929	1.611316	4.220626	5.845666	0.000000	0.265171	0.353280	
396.082092	1.610927	4.203827	5.778327	0.000000	0.258082	0.329924	
397.674255	1.610538	4.187546	5.715893	0.000000	0.251220	0.310244	
399.266418	1.610148	4.171748	5.657641	0.000000	0.244590	0.293175	
400.858612	1.609766	4.156406	5.603062	0.000000	0.238200	0.278041	
