ROI backgr, sum

Spectrum                                     Si       P     Ar      Ni       Zn       Ga       Rh
20230531_CVD_3158_60s_10x10ptsdet_1_5_9    -264    -208    -79    -956    -1548    -1903    -6173
20230531_CVD_3158_60s_10x10ptsdet_1_6_0    -298    -247    -79    -901    -1513    -2042    -7222
20230531_CVD_3158_60s_10x10ptsdet_1_6_1    -305    -251    -91    -981    -1520    -1950    -6777
20230531_CVD_3158_60s_10x10ptsdet_1_6_2    -290    -226    -88    -955    -1554    -1981    -6563
20230531_CVD_3158_60s_10x10ptsdet_1_6_3    -283    -232    -91    -959    -1617    -2017    -6561
20230531_CVD_3158_60s_10x10ptsdet_1_6_4    -281    -227    -95    -895    -1490    -1983    -6435
20230531_CVD_3158_60s_10x10ptsdet_1_6_5    -278    -226    -66    -958    -1549    -2000    -6432
20230531_CVD_3158_60s_10x10ptsdet_1_6_6    -277    -218    -71    -889    -1451    -1980    -6390
20230531_CVD_3158_60s_10x10ptsdet_1_6_7    -283    -219    -84    -973    -1572    -1881    -6556
20230531_CVD_3158_60s_10x10ptsdet_1_6_8    -274    -220    -96   -1000    -1582    -2001    -6447
20230531_CVD_3158_60s_10x10ptsdet_1_6_9    -298    -242    -86    -899    -1563    -2047    -6430
20230531_CVD_3158_60s_10x10ptsdet_1_7_0    -307    -247    -91    -979    -1678    -2074    -7061
20230531_CVD_3158_60s_10x10ptsdet_1_7_1    -282    -227    -81   -1006    -1657    -1993    -6743
20230531_CVD_3158_60s_10x10ptsdet_1_7_2    -282    -231    -90    -996    -1565    -1909    -6656
20230531_CVD_3158_60s_10x10ptsdet_1_7_3    -294    -240    -93    -982    -1582    -2018    -6684
20230531_CVD_3158_60s_10x10ptsdet_1_7_4    -283    -231   -102    -951    -1589    -2033    -6636
20230531_CVD_3158_60s_10x10ptsdet_1_7_5    -289    -222    -86    -951    -1621    -2055    -6500
20230531_CVD_3158_60s_10x10ptsdet_1_7_6    -305    -259    -71    -976    -1581    -1998    -6581
20230531_CVD_3158_60s_10x10ptsdet_1_7_7    -286    -218    -91   -1001    -1592    -2053    -6539
20230531_CVD_3158_60s_10x10ptsdet_1_7_8    -286    -236    -57    -971    -1588    -2041    -6496
20230531_CVD_3158_60s_10x10ptsdet_1_7_9    -267    -212    -99    -962    -1521    -1864    -6612
20230531_CVD_3158_60s_10x10ptsdet_1_8_0    -289    -239    -97    -939    -1518    -2007    -6475
20230531_CVD_3158_60s_10x10ptsdet_1_8_1    -291    -238    -89    -960    -1586    -2054    -6305
20230531_CVD_3158_60s_10x10ptsdet_1_8_2    -272    -219    -64    -976    -1579    -1945    -6291
20230531_CVD_3158_60s_10x10ptsdet_1_8_3    -260    -195    -69    -975    -1493    -1900    -6245
20230531_CVD_3158_60s_10x10ptsdet_1_8_4    -260    -195    -92    -961    -1520    -2018    -6304
20230531_CVD_3158_60s_10x10ptsdet_1_8_5    -275    -212    -66    -983    -1607    -2049    -6051
20230531_CVD_3158_60s_10x10ptsdet_1_8_6    -270    -213    -82    -979    -1580    -1942    -6296
20230531_CVD_3158_60s_10x10ptsdet_1_8_7    -274    -202    -72    -973    -1613    -2105    -6232
20230531_CVD_3158_60s_10x10ptsdet_1_8_8    -279    -229   -105    -984    -1520    -1959    -6239
20230531_CVD_3158_60s_10x10ptsdet_1_8_9    -275    -223    -77    -943    -1646    -1989    -6239
20230531_CVD_3158_60s_10x10ptsdet_1_9_0    -294    -244    -90    -989    -1622    -2043    -6633
20230531_CVD_3158_60s_10x10ptsdet_1_9_1    -290    -225    -75    -964    -1611    -1971    -6646
20230531_CVD_3158_60s_10x10ptsdet_1_9_2    -265    -207    -79    -957    -1527    -2031    -6853
20230531_CVD_3158_60s_10x10ptsdet_1_9_3    -288    -245    -95    -945    -1434    -1917    -6899
20230531_CVD_3158_60s_10x10ptsdet_1_9_4    -296    -241    -88    -941    -1545    -2072    -6793
20230531_CVD_3158_60s_10x10ptsdet_1_9_5    -277    -218    -80   -1010    -1607    -2018    -6787
20230531_CVD_3158_60s_10x10ptsdet_1_9_6    -303    -262    -89    -978    -1653    -2119    -6795
20230531_CVD_3158_60s_10x10ptsdet_1_9_7    -288    -235    -85    -958    -1640    -2028    -6697
20230531_CVD_3158_60s_10x10ptsdet_1_9_8    -280    -227    -93   -1017    -1674    -1995    -6812
20230531_CVD_3158_60s_10x10ptsdet_1_9_9    -305    -256   -103    -953    -1573    -1980    -6676
20230531_CVD_3158_60s_10x10ptsdet_2_0_0    -281    -216    -76    -977    -1676    -2176    -6384
20230531_CVD_3158_60s_10x10ptsdet_2_0_1    -289    -223    -49   -1028    -1643    -2137    -5789
20230531_CVD_3158_60s_10x10ptsdet_2_0_2    -303    -257    -72   -1023    -1665    -2131    -5866
20230531_CVD_3158_60s_10x10ptsdet_2_0_3    -296    -242    -56   -1040    -1745    -2151    -5737
20230531_CVD_3158_60s_10x10ptsdet_2_0_4    -271    -214    -60    -987    -1671    -2100    -5677
20230531_CVD_3158_60s_10x10ptsdet_2_0_5    -271    -215    -74    -984    -1569    -2041    -5800
20230531_CVD_3158_60s_10x10ptsdet_2_0_6    -291    -238    -62   -1036    -1708    -2171    -5700
