"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;231128;9134.61;28453.8;1967.25;1158.85;347.9;98576.9;12954.4;74.9916;1153.47;2201.02;60.0206;221.308;427.282;531.69;224.152;174.464;57.7642;47.1347;44.1734;320.412;130.492;34.666;120.79;122.571;20.7225;22.7189;26.0758;2.69573
0;1;823.72;731.654;649.842;463.742;107.706;93.802;14.0407;15.3969;823.857;535.219;549.032;19.8605;49.2072;103.217;75.9421;64.4239;45.5535;42.767;41.1319;48.326;55.4905;65.0193;42.888;166.688;177.557;28.6131;25.639;23.3055;2.56255
1;0;230953;9397.25;28202.9;2073.91;1150.91;399.524;98742.2;13562.6;14.5235;1200.07;2165.9;96.8845;211.283;366.519;528.377;227.481;173.828;59.0583;46.958;45.0054;319.693;131.735;33.4267;118.645;121.284;21.674;22.4555;24.8305;2.93852
1;1;829.547;734.691;642.734;448.206;108.701;104.981;32.7414;16.8019;824.807;548.126;564.831;21.5351;62.4323;110.971;88.741;72.9779;53.047;43.4293;40.8294;48.2088;55.6437;65.0477;50.2771;164.548;186.569;26.9927;25.0733;23.9624;2.59928
2;0;229980;9550.81;28752.9;2129.54;1189.15;441.021;98828.5;13378.6;2.42859;1297.83;2204.38;52.8423;260.792;433.879;537.795;227.554;175.587;59.3466;47.343;44.6263;321.372;131.302;33.383;119.727;122.158;21.0048;23.8113;25.7852;2.92313
2;1;838.11;739.297;657.808;460.749;129.821;127.99;39.4553;23.0482;798.695;507.327;529.576;34.0022;33.9766;86.9776;102.137;80.2082;60.9113;46.2101;42.4223;49.8131;55.0528;64.6176;57.2133;156.963;180.763;30.5266;26.3579;23.5419;2.42432
3;0;230052;9872.16;28530.9;2108.01;1169.3;455.186;98679.6;13026;81.6805;1366.17;2050.02;92.3199;206.616;395.599;522.039;228.026;174.177;58.484;47.1207;44.9433;318.908;130.629;28.9948;118.101;119.818;20.1433;21.4088;24.1754;2.96303
3;1;817.929;737.504;650.508;443.212;105.258;106.123;31.1405;28.5293;761.258;519.775;539.132;33.0804;40.9149;78.0102;90.6632;76.3244;56.275;44.7496;41.4929;48.8054;55.1076;64.9533;49.9166;165.503;186.842;28.5383;24.9098;22.2877;2.4687
4;0;230400;9139.74;28952.6;2060.32;1271.84;400.832;98689.3;13012.4;3.57699;1199.09;2060.13;94.9639;204.71;415.969;541.936;223.98;176.345;58.6822;47.8813;43.8296;321.892;129.999;33.8603;116.597;118.109;22.0261;22.4061;25.2258;2.86912
4;1;815.341;729.904;648.288;460.377;81.2765;59.303;21.1181;18.2265;750.894;494.444;512.074;27.3081;33.9289;92.1752;94.4676;76.8426;58.9841;48.9099;40.7862;47.3481;54.8657;64.4641;53.9084;139.607;165.743;29.0438;25.2783;22.9969;2.48072
5;0;229805;9468.59;28356.2;2002.91;1084.8;437.871;98200;13237.6;14.0798;1314.75;2028.07;73.3156;238.559;367.565;539.15;226.423;174.542;57.7242;46.5799;45.1257;321.127;130.909;33.1653;118.695;120.748;22.3311;23.3625;24.5487;2.95581
5;1;810.21;728.638;646.875;458.34;122.827;143.198;51.0688;19.4329;754.604;517.38;538.249;14.8731;45.3044;99.4567;92.8869;64.9355;55.9185;39.808;42.1762;50.2835;55.4632;64.2871;48.3287;132.387;162.42;26.2909;23.7302;22.4874;2.55438
6;0;225122;8927.11;28272;2028.41;1155.74;389.584;96568.2;13148.7;3.33163;1142.26;2282.17;87.736;162.834;362.156;526.997;222.423;173.944;58.1605;46.5265;43.5539;317.288;130.178;33.5829;119.738;122.419;21.2231;21.2096;24.6134;3.12196
6;1;779.787;694.507;608.114;414.127;124.511;126.848;40.0542;24.3197;775.791;513.798;528.476;52.3447;71.3643;111.923;87.7463;69.6422;53.3294;41.2785;41.7048;49.0676;54.7025;64.2332;51.0224;132.376;160.361;28.6251;26.1946;24.7312;2.45445
7;0;231333;9263.1;28721.5;2073.31;1181.6;468.608;99470;13334.4;1.24583;1307.47;1912.76;134.048;178.086;387.832;528.229;225.226;175.221;58.8582;46.8872;44.4188;320.414;131.392;32.4362;118.091;119.256;22.3011;21.9298;24.925;3.16043
7;1;819.965;722.827;647.445;461.72;121.947;95.431;23.0802;32.5627;806.59;506.18;525.133;10.94;36.1322;93.2328;97.8289;76.9335;60.6074;45.5217;41.6876;47.5333;53.4642;63.9518;57.5662;155.991;179.964;27.7088;24.7906;23.0867;2.46288
8;0;232002;9245.67;28464.5;1966.24;1225.82;470.135;99274.2;13322.7;20.4884;1246.18;2200.99;76.6223;234.161;414.414;537.724;229.694;174.868;57.7874;47.7179;45.1189;321.995;131.441;33.4053;120.708;122.832;21.4048;23.3226;25.5702;2.99078
8;1;807.266;724.895;638.887;441.053;106.934;132.678;50.5948;21.3259;740.15;510.709;532.678;38.0138;41.3366;86.2299;80.8633;65.2925;47.1245;41.8074;40.708;48.9109;55.1895;64.6195;42.5509;140.447;153.849;29.5553;25.6672;22.5369;2.5068
9;0;230194;9197.76;28834.3;2076.32;1115.22;445.204;98387.3;13287.9;25.1019;1332.84;2041.53;72.8433;210.213;445.205;533.678;223.63;175.558;58.684;46.604;44.7656;319.935;131.501;30.1868;117.196;118.73;19.3126;21.6232;25.5772;2.91895
9;1;787.086;705.542;623.622;434.383;117.304;134.538;34.7956;20.0129;737.042;497.712;517.297;15.2504;42.8819;91.6582;92.9178;71.2747;55.6522;42.6182;42.1474;50.0238;55.2191;64.373;50.4013;128.754;158.397;26.8767;24.1563;22.5072;2.47134
10;0;231484;9396.8;28598.1;2056.86;1216.88;403.342;98708.7;13046.9;10.99;1366.92;2016.55;67.7524;209.182;411.552;554.689;226.469;175.302;58.2074;47.8529;44.5826;321.992;130.174;33.3843;118.824;119.873;21.6864;22.7529;25.4305;3.11118
10;1;807.587;718.206;623.47;407.951;130.603;112.893;34.4562;26.7885;749.848;485.775;501.703;54.9551;51.3179;80.4415;82.0978;66.3668;46.6734;38.9583;41.5788;48.2284;55.0609;65.0826;44.1037;145.911;162.729;31.0935;27.439;23.3365;2.51211
11;0;230340;9721.56;28825.5;2066.25;1241.4;345.834;98247.8;13082.1;6.33783;1389.89;2009.14;0.140334;251.521;408.843;532.299;227.634;175.517;58.0589;47.883;43.3244;319.547;129.968;33.5827;120.417;121.448;18.5718;22.6443;25.2315;2.94966
11;1;812.914;731.064;648.609;447.647;92.7467;94.9169;28.0252;21.4035;751.406;496.485;513.13;19.651;43.1946;82.3137;72.3144;53.2846;44.3663;38.4735;40.6401;47.7698;54.3024;63.7099;41.7457;126.305;141.515;27.8788;24.7336;22.115;2.47293
12;0;229324;10176.8;28841.7;2147.25;1073.56;432.748;98232.9;13150.2;7.29867;1338.59;2117.39;72.0059;201.215;360.343;538.91;230.005;175.831;59.0489;46.2286;44.7472;322.322;130.651;32.3286;120.032;121.848;21.6523;22.8686;24.7256;3.01223
12;1;807.69;731.492;652.814;458.89;88.5706;56.3087;3.23733;16.968;723.837;488.651;505.377;25.3203;51.5109;96.5762;95.1944;85.7982;60.5471;51.3495;41.4198;47.4074;54.9297;64.4077;52.965;154.385;171.209;28.2098;25.5213;23.8911;2.42433
13;0;231890;9255.4;28640.5;2017.65;1170.69;399.883;98131.3;13401.3;21.7994;1320.4;2055.78;25.5789;227.33;308.781;534.439;227.964;175.205;58.2677;47.3616;44.7644;320.102;131.255;33.0983;118.914;120.313;21.27;23.7435;24.5823;3.113
13;1;796.612;706.136;626.741;429.909;90.1895;59.5141;5.46952;19.0607;759.884;504.645;529.069;64.5744;56.909;98.0987;84.9237;69.3909;48.9669;41.596;41.3554;47.7571;55.3573;66.0554;45.4752;164.761;184.255;34.0283;29.3359;25.6724;2.25374
14;0;230429;9517.14;28404.9;2144.92;1207.5;457.577;98532.9;13174.2;6.36332;1383.23;2011.79;69.1199;188.973;373.016;539.278;224.77;174.668;59.5105;47.47;44.4916;321.459;130.512;33.6242;118.193;119.702;21.0957;22.6389;25.0518;3.17457
14;1;789.597;708.369;619.294;417.52;89.9653;37.5564;11.7824;20.6536;759.595;520.177;539.132;31.2335;51.0197;89.3449;89.2563;71.2176;53.1112;40.2087;41.276;46.6174;55.1782;64.8776;49.3015;162.497;181.791;28.8773;25.4743;23.4527;2.44366
15;0;230316;9235.19;28613.8;2020.5;1154.67;434.091;99663.5;13398.1;3.79704;1184.05;2146.17;60.4444;191.126;365.112;559.538;219.337;174.849;57.1741;46.8448;43.7807;323.695;130.483;32.8176;116.115;119.266;20.4519;21.4606;24.2526;3.38644
15;1;783.572;699.636;612.741;413.812;187.975;202.59;59.3635;29.7603;755.929;498.426;514.727;40.8558;62.104;99.0938;89.6358;70.1133;54.3252;39.3145;44.4461;51.8757;54.2712;63.9484;51.5484;149.244;169.204;28.0984;25.55;23.8074;2.50996
16;0;230545;9375.71;28922.2;2089.05;1266.95;533.646;98528.6;13407.6;9.23529;1400.54;2070.79;141.994;206.843;370.272;535.044;226.962;176.247;59.2252;47.8642;44.6751;320.499;131.15;32.8292;120.892;121.541;22.7705;22.7895;24.5405;3.32717
16;1;794.221;715.036;632.775;438.817;102.905;78.2994;11.5439;21.7082;743.943;511.715;534.368;39.5822;58.3526;101.21;90.5462;71.0119;55.0082;43.9621;40.9216;47.3723;53.6891;63.4545;49.4322;132.463;159.503;28.4681;25.7389;23.9075;2.48396
17;0;229158;10074.2;28491.2;2056.47;1185.53;367.622;98810;13382.5;42.9369;1141.27;2263.83;136.097;178.303;393.821;523.565;229.487;181.656;58.3251;47.6322;43.9794;318.402;130.869;25.4273;115.019;118.916;22.2816;20.8549;24.3564;3.13074
17;1;866.042;664.913;626.874;471.803;176.018;192.839;54.1394;32.7902;813.421;414.772;498.929;27.0213;29.0421;89.7045;80.8607;65.8773;47.022;40.2124;40.9926;48.1398;52.3036;61.1692;42.5537;150.658;167.59;28.0278;24.6283;22.104;2.36941
18;0;230477;9520.65;28584.6;2054.76;1156.75;459.452;98341.1;13169.3;7.76196;1364.94;2066.36;59.677;259.975;338.079;530.509;227.705;174.9;58.5107;47.1339;45.3968;319.486;131.033;33.1568;119.858;121.527;20.4668;23.1695;23.6468;3.40124
18;1;790.631;703.875;621.231;432.699;156.932;205.959;93.6348;24.2394;785.709;516.172;531.002;31.7268;58.7808;100.614;86.7335;72.2426;53.2153;42.1651;43.0463;52.5062;56.112;64.0505;51.5514;163.268;183.313;26.4496;24.5921;23.1926;2.50819
19;0;230097;9039;28942.1;2076.17;1134.11;441.828;98650.4;13573.2;16.3384;1286.46;2215.9;109.992;211.555;336.286;535.661;222.756;176.069;59.1786;47.0915;45.4043;319.644;131.55;32.5208;120.867;123.545;22.5953;22.8886;24.2011;2.83622
19;1;795.311;717.473;643.711;460.918;123.352;128.531;38.5137;13.4862;754.113;503.377;519.063;28.2568;35.4754;91.7274;75.7801;58.4307;44.8077;35.9879;42.2991;49.1469;55.1471;63.6806;41.6728;132.139;149.765;29.3734;25.4679;22.4395;2.45312
20;0;230897;9224.04;28372.3;1984.9;1008.98;371.082;98057.3;13169.1;3.97413;1270.7;2136.04;77.4352;157.835;408.351;533.202;227.823;174.679;58.1039;45.5759;44.0844;319.666;130.526;33.6079;120.744;122.504;21.8413;22.2014;26.0954;3.09996
