"channel","Energy","counts","fit","continuum","pileup","Si Ka","Si Kb","P Ka","P Kb","Ni Ka","Ni Kb","Ga Ka","Ga Kb","Ga L1","Ga L2","Ga L3","Rh L1","Rh L2","Rh L3"
772,6.758987,33,24.41863,24.26544,0.0004920799,0.09344554,0.003162895,0.001206092,1.317668e-05,0.024138,0.001793056,0.0266849,0.001891743,1.766783e-05,5.596813e-05,6.921289e-05,4.451859e-05,6.782106e-05,0.000110921
773,6.76899,34,24.64723,24.4935,0.0004893435,0.09307421,0.003150082,0.001201028,1.311986e-05,0.02482049,0.001817042,0.0269009,0.001902583,1.760331e-05,5.576988e-05,6.896886e-05,4.427197e-05,6.746982e-05,0.0001103646
774,6.778994,36,24.87399,24.71968,0.0004866326,0.09270509,0.003137346,0.001195995,1.30634e-05,0.02553222,0.001841511,0.02711954,0.001913517,1.753914e-05,5.557268e-05,6.872612e-05,4.402741e-05,6.712131e-05,0.0001098123
775,6.788997,44,25.10016,24.94524,0.0004839474,0.09233816,0.003124688,0.001190995,1.30073e-05,0.02627485,0.001866478,0.02734084,0.001924545,1.747533e-05,5.537653e-05,6.848466e-05,4.378487e-05,6.67755e-05,0.0001092642
776,6.799,34,25.32637,25.1708,0.0004812882,0.09197341,0.003112106,0.001186025,1.295157e-05,0.0270502,0.001891955,0.02756487,0.001935668,1.741186e-05,5.518142e-05,6.824447e-05,4.354434e-05,6.643235e-05,0.0001087202
777,6.809003,29,25.55154,25.39528,0.0004786552,0.09161082,0.0030996,0.001181086,1.289619e-05,0.02786021,0.001917957,0.02779166,0.001946889,1.734874e-05,5.498733e-05,6.800554e-05,4.330579e-05,6.609185e-05,0.0001081803
778,6.819007,34,25.77675,25.61976,0.0004760487,0.09125036,0.00308717,0.001176179,1.284116e-05,0.02870697,0.001944498,0.02802126,0.001958207,1.728596e-05,5.479426e-05,6.776787e-05,4.306921e-05,6.575396e-05,0.0001076444
779,6.82901,35,26.00113,25.84336,0.0004734687,0.09089203,0.003074813,0.001171301,1.278649e-05,0.02959271,0.001971593,0.02825371,0.001969624,1.722352e-05,5.460221e-05,6.753143e-05,4.283456e-05,6.541865e-05,0.0001071124
780,6.839013,43,26.22458,26.06599,0.0004709153,0.0905358,0.003062531,0.001166454,1.273217e-05,0.03051985,0.001999258,0.02848907,0.001981141,1.716141e-05,5.441117e-05,6.729624e-05,4.260184e-05,6.508591e-05,0.0001065844
781,6.849017,37,26.44711,26.28765,0.0004683884,0.09018166,0.003050323,0.001161637,1.267819e-05,0.03149101,0.002027508,0.02872738,0.00199276,1.709965e-05,5.422113e-05,6.706226e-05,4.237101e-05,6.475571e-05,0.0001060603
782,6.85902,39,26.66929,26.5089,0.000465888,0.0898296,0.003038187,0.00115685,1.262455e-05,0.03250899,0.002056361,0.02896869,0.002004481,1.703821e-05,5.403209e-05,6.682951e-05,4.214206e-05,6.442801e-05,0.00010554
783,6.869023,39,26.89117,26.72979,0.0004634137,0.08947959,0.003026124,0.001152092,1.257126e-05,0.03357684,0.002085833,0.02921305,0.002016305,1.697711e-05,5.384403e-05,6.659797e-05,4.191497e-05,6.41028e-05,0.0001050236
784,6.879026,40,27.11282,26.9504,0.0004609652,0.08913163,0.003014132,0.001147364,1.25183e-05,0.03469783,0.002115942,0.02946052,0.002028235,1.691633e-05,5.365695e-05,6.636763e-05,4.168971e-05,6.378004e-05,0.000104511
785,6.88903,37,27.33417,27.17065,0.0004585422,0.08878569,0.003002211,0.001142665,1.246567e-05,0.03587555,0.002146707,0.02971114,0.002040271,1.685588e-05,5.347084e-05,6.613848e-05,4.146628e-05,6.345972e-05,0.0001040021
786,6.899033,46,27.55431,27.38962,0.0004561444,0.08844176,0.002990361,0.001137994,1.241338e-05,0.03711385,0.002178148,0.02996498,0.002052414,1.679576e-05,5.32857e-05,6.591051e-05,4.124464e-05,6.314181e-05,0.0001034969
787,6.909036,32,27.77452,27.60858,0.0004537713,0.08809983,0.002978581,0.001133352,1.236141e-05,0.03841693,0.002210283,0.03022208,0.002064666,1.673595e-05,5.310152e-05,6.568373e-05,4.102477e-05,6.282629e-05,0.0001029954
788,6.91904,43,27.99466,27.8274,0.0004514224,0.08775988,0.00296687,0.001128739,1.230977e-05,0.03978935,0.002243134,0.0304825,0.002077028,1.667646e-05,5.291829e-05,6.545811e-05,4.080667e-05,6.251312e-05,0.0001024975
789,6.929043,39,28.21371,28.04506,0.0004490976,0.08742188,0.002955229,0.001124153,1.225845e-05,0.04123608,0.002276721,0.0307463,0.002089501,1.661729e-05,5.273601e-05,6.523365e-05,4.059031e-05,6.22023e-05,0.0001020033
790,6.939046,30,28.43224,28.26211,0.0004467962,0.08708584,0.002943656,0.001119596,1.220745e-05,0.04276255,0.002311068,0.03101353,0.002102087,1.655844e-05,5.255467e-05,6.501034e-05,4.037567e-05,6.189379e-05,0.0001015126
791,6.949049,40,28.65086,28.47915,0.0004445181,0.08675173,0.00293215,0.001115066,1.215677e-05,0.04437467,0.002346196,0.03128427,0.002114787,1.649989e-05,5.237427e-05,6.478818e-05,4.016274e-05,6.158757e-05,0.0001010254
792,6.959053,53,28.86958,28.69619,0.0004422628,0.08641955,0.002920712,0.001110563,1.210641e-05,0.04607892,0.00238213,0.03155856,0.002127602,1.644166e-05,5.219479e-05,6.456715e-05,3.995149e-05,6.128362e-05,0.0001005418
793,6.969056,36,29.08755,28.91238,0.0004400301,0.08608926,0.002909341,0.001106088,1.205636e-05,0.04788239,0.002418896,0.03183648,0.002140534,1.638373e-05,5.201623e-05,6.434726e-05,3.97419e-05,6.098192e-05,0.0001000616
794,6.979059,45,29.30563,29.12857,0.0004378197,0.08576087,0.002898036,0.00110164,1.200661e-05,0.04979285,0.002456517,0.03211808,0.002153584,1.632611e-05,5.183858e-05,6.412848e-05,3.953397e-05,6.068244e-05,9.958482e-05
