All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.459471	1.123567	0.003440	2.939483	3.022594	
213.164581	1.801366	1.474833	1.145748	0.002967	3.012278	3.055785	
214.752319	1.796011	1.497437	1.168772	0.002497	3.081829	3.089487	
216.340134	1.790912	1.520873	1.192738	0.002132	3.149032	3.123678	
217.928055	1.786005	1.543310	1.217744	0.001848	3.220086	3.158371	
219.516022	1.781151	1.567698	1.243896	0.001397	3.298634	3.193607	
221.104050	1.776367	1.597270	1.271268	0.001173	3.385957	3.229531	
222.692169	1.771816	1.634761	1.300082	0.000950	3.482365	3.266649	
224.280350	1.767480	1.682471	1.331440	0.000729	3.588918	3.306002	
225.868576	1.763291	1.746407	1.368742	0.000510	3.707444	3.347950	
227.456879	1.759150	1.835331	1.417031	0.000293	3.834803	3.388365	
229.045258	1.755276	1.955905	1.476103	0.000079	3.961206	3.417338	
230.633713	1.751450	2.107536	1.535902	0.000000	4.076250	3.427399	
232.222244	1.747662	2.289329	1.583465	0.000000	4.171286	3.422007	
233.810822	1.743917	2.495627	1.613059	0.000000	4.233247	3.412525	
235.399445	1.740412	2.712407	1.628942	0.000000	4.255323	3.408360	
236.988159	1.736960	2.925006	1.637225	0.000000	4.238844	3.412519	
238.576935	1.733552	3.124902	1.642134	0.000000	4.192297	3.424280	
240.165741	1.730382	3.309456	1.645569	0.000000	4.121530	3.442288	
241.754639	1.727244	3.476242	1.648309	0.000000	4.030575	3.465570	
243.343597	1.724156	3.622999	1.650725	0.000000	3.923263	3.493745	
244.932617	1.721282	3.746961	1.653081	0.000000	3.803120	3.526508	
246.521698	1.718439	3.843318	1.655635	0.000000	3.676408	3.563881	
248.110840	1.715615	3.912819	1.658714	0.000000	3.555403	3.606118	
249.700027	1.712840	3.963784	1.662727	0.000000	3.448987	3.653296	
251.289276	1.710177	4.009311	1.668192	0.000000	3.359966	3.705624	
252.878616	1.707630	4.059021	1.675715	0.000000	3.279830	3.763267	
254.467972	1.705125	4.113311	1.685985	0.000000	3.200515	3.826319	
256.057404	1.702677	4.169980	1.699746	0.000000	3.116805	3.894793	
257.646881	1.700397	4.225625	1.717770	0.000000	3.025559	3.968604	
259.236420	1.698043	4.276384	1.740836	0.000000	2.924893	4.047571	
260.826019	1.695632	4.317045	1.769707	0.000000	2.813876	4.131420	
262.415680	1.693550	4.340024	1.805106	0.000000	2.695674	4.219814	
264.005371	1.691507	4.342797	1.847700	0.000000	2.578924	4.312377	
265.595154	1.689352	4.327643	1.898091	0.000000	2.470522	4.408767	
267.184967	1.687262	4.299600	1.956990	0.000000	2.375422	4.508855	
268.774811	1.685311	4.264861	2.025317	0.000000	2.293868	4.612829	
270.364716	1.683378	4.226309	2.104447	0.000000	2.224248	4.721065	
271.954681	1.681464	4.185725	2.197320	0.000000	2.165590	4.833691	
273.544739	1.679574	4.144634	2.309657	0.000000	2.117113	4.948874	
275.134796	1.677697	4.104354	2.444857	0.000000	2.077950	5.060009	
276.724915	1.675961	4.065990	2.602002	0.000000	2.047274	5.157740	
278.315063	1.674275	4.030646	2.773091	0.000000	2.024261	5.234608	
279.905273	1.672616	3.999648	2.946965	0.000000	2.007697	5.294608	
281.495544	1.670964	3.973617	3.122405	0.000000	1.995540	5.347751	
283.085876	1.669457	3.952200	3.309460	0.000000	1.985963	5.401219	
284.676208	1.667986	3.934422	3.524439	0.000000	1.977521	5.446385	
286.266602	1.666430	3.918516	3.769389	0.000000	1.969637	5.464629	
287.857056	1.664845	3.903372	4.033906	0.000000	1.963326	5.434958	
289.447571	1.663379	3.889082	4.295397	0.000000	1.959527	5.349046	
291.038086	1.661969	3.876262	4.531756	0.000000	1.958862	5.213264	
292.628662	1.660576	3.866139	4.724962	0.000000	1.961437	5.040545	
294.219299	1.659196	3.859723	4.871256	0.000000	1.965984	4.851742	
295.809967	1.657876	3.856765	4.974534	0.000000	1.971093	4.662869	
297.400665	1.656662	3.856398	5.042196	0.000000	1.975743	4.484626	
298.991394	1.655434	3.857099	5.082824	0.000000	1.979361	4.323081	
300.582214	1.654115	3.856772	5.105662	0.000000	1.983035	4.179348	
302.173035	1.652795	3.855197	5.116897	0.000000	1.989164	4.052912	
303.763916	1.651607	3.853478	5.121128	0.000000	1.999557	3.942152	
305.354797	1.650446	3.853530	5.121561	0.000000	2.015443	3.845023	
306.945740	1.649359	3.858422	5.120307	0.000000	2.037034	3.759509	
308.536743	1.648350	3.870896	5.118719	0.000000	2.061520	3.683820	
310.127747	1.647333	3.890741	5.117632	0.000000	2.085594	3.616173	
311.718811	1.646225	3.916357	5.117527	0.000000	2.106903	3.555275	
313.309906	1.645117	3.945033	5.118678	0.000000	2.123987	3.500050	
314.901062	1.644098	3.972170	5.121222	0.000000	2.137394	3.449606	
316.492218	1.643136	3.994958	5.125203	0.000000	2.153076	3.403207	
318.083435	1.642175	4.016079	5.130598	0.000000	2.176867	3.360251	
319.674652	1.641236	4.040796	5.137349	0.000000	2.212620	3.320253	
321.265930	1.640297	4.076682	5.145371	0.000000	2.262183	3.282828	
322.857208	1.639368	4.135056	5.154595	0.000000	2.323512	3.247722	
324.448547	1.638452	4.225079	5.164930	0.000000	2.383028	3.214689	
326.039917	1.637535	4.343734	5.176298	0.000000	2.426378	3.183554	
327.631287	1.636637	4.483671	5.188648	0.000000	2.444249	3.154212	
329.222717	1.635743	4.635956	5.201956	0.000000	2.430836	3.126601	
330.814178	1.634861	4.790169	5.216225	0.000000	2.382978	3.100694	
332.405670	1.634098	4.933908	5.231498	0.000000	2.303338	3.076511	
333.997162	1.633335	5.061105	5.247900	0.000000	2.199897	3.054154	
335.588684	1.632547	5.169771	5.265495	0.000000	2.078369	3.033575	
337.180267	1.631697	5.258799	5.284428	0.000000	1.942880	3.014819	
338.771881	1.630847	5.327159	5.304890	0.000000	1.796618	2.997952	
340.363464	1.630047	5.373101	5.327271	0.000000	1.642368	2.983178	
341.955139	1.629323	5.394198	5.351707	0.000000	1.484828	2.970403	
343.546814	1.628598	5.390441	5.378484	0.000000	1.329872	2.959686	
345.138489	1.627926	5.363202	5.408265	0.000000	1.182800	2.951328	
346.730194	1.627321	5.314812	5.441346	0.000000	1.048712	2.945338	
348.321960	1.626716	5.248939	5.478192	0.000000	0.932769	2.941857	
349.913727	1.626079	5.172080	5.520452	0.000000	0.840052	2.941573	
351.505493	1.625392	5.094434	5.568836	0.000000	0.770536	2.944403	
353.097321	1.624705	5.022022	5.625729	0.000000	0.719232	2.950624	
354.689148	1.624047	4.957865	5.694625	0.000000	0.681363	2.959714	
356.280975	1.623474	4.903421	5.777904	0.000000	0.652347	2.969819	
357.872864	1.622901	4.858799	5.882858	0.000000	0.627749	2.976306	
359.464752	1.622326	4.822586	6.008857	0.000000	0.603346	2.973300	
361.056641	1.621676	4.790974	6.160621	0.000000	0.576316	2.947463	
362.648560	1.621026	4.760616	6.329084	0.000000	0.547351	2.891906	
364.240509	1.620375	4.730086	6.505469	0.000000	0.517603	2.790610	
365.832458	1.619802	4.698678	6.673759	0.000000	0.488096	2.647725	
367.424438	1.619260	4.666117	6.813735	0.000000	0.459768	2.458580	
369.016418	1.618718	4.632482	6.919016	0.000000	0.433500	2.242430	
370.608429	1.618206	4.598261	6.973244	0.000000	0.410111	2.009657	
372.200470	1.617767	4.564529	6.986702	0.000000	0.389905	1.777787	
373.792480	1.617329	4.532030	6.959728	0.000000	0.372421	1.559561	
375.384521	1.616890	4.501100	6.903574	0.000000	0.357160	1.361493	
376.976593	1.616396	4.471912	6.828031	0.000000	0.343655	1.185566	
378.568665	1.615884	4.444513	6.738420	0.000000	0.331453	1.035435	
380.160736	1.615373	4.418843	6.642571	0.000000	0.320119	0.904950	
381.752838	1.614864	4.394715	6.543668	0.000000	0.309240	0.794338	
383.344940	1.614367	4.371722	6.444571	0.000000	0.298535	0.701055	
384.937073	1.613871	4.349513	6.346990	0.000000	0.288045	0.621250	
386.529175	1.613374	4.327916	6.252538	0.000000	0.277860	0.554772	
388.121307	1.612915	4.306827	6.161996	0.000000	0.268057	0.499205	
389.713440	1.612514	4.286188	6.075556	0.000000	0.258711	0.452196	
391.305603	1.612112	4.265976	5.993925	0.000000	0.249890	0.413049	
392.897766	1.611711	4.246201	5.917501	0.000000	0.241659	0.380703	
394.489929	1.611316	4.226916	5.845666	0.000000	0.234075	0.353280	
396.082092	1.610927	4.208230	5.778327	0.000000	0.227130	0.329924	
397.674255	1.610538	4.190200	5.715893	0.000000	0.220751	0.310244	
