"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;242094;10410.1;23701.2;1745.65;1175.58;621.72;81366;10902.3;7.95784;1150.93;1764.13;52.2933;191.031;311.516;541.768;231.527;159.206;53.9275;46.2692;45.4437;290.04;121.2;27.159;110.049;111.725;19.5208;21.77;23.618;3.438
0;1;784.253;702.281;615.813;420.243;157.149;200.292;65.1613;32.1024;707.325;478.439;497.21;27.4061;55.7431;98.1263;78.955;65.1712;46.8156;37.4233;40.2773;48.6479;53.7072;62.9711;44.7389;125.617;146.798;27.527;25.051;22.8759;2.4664
1;0;243090;10303.4;24252.8;1743.89;1145.71;553.387;80681.9;11082.2;120.342;981.37;1833.09;76.2623;188.708;336.595;546.75;231.181;161.045;54.0449;46.0474;44.3827;289.684;121.456;33.6362;108.727;110.531;20.6786;21.9099;23.7946;3.18922
1;1;777.941;693.276;624.624;441.951;127.356;62.2779;6.23292;18.3199;728.838;463.23;480.379;31.7112;47.9839;97.3757;93.8934;74.9069;58.7318;45.3391;40.9042;44.4726;51.6045;60.4679;53.6636;125.322;154.194;25.8731;23.4889;22.306;2.17903
2;0;242421;10450.2;23966.9;1697.72;1157.44;570.411;81473.7;10997.1;29.0811;986.068;1829.72;91.3691;145.492;329.642;546.915;229.845;159.967;52.6812;46.3729;44.9807;290.981;120.265;31.2996;109;110.469;20.8845;20.256;22.7299;3.21409
2;1;779.054;704.597;616.761;409.525;157.933;131.398;6.16705;23.9702;648.758;446.787;467.03;29.8532;38.6988;72.1344;86.0049;61.1341;52.0268;30.9026;41.4863;47.5877;52.5598;62.1308;44.9805;119.255;143.459;27.1844;23.8365;21.0683;2.34296
3;0;242872;9647.86;23908.9;1685.88;1159.85;585.887;81555.2;10946.5;4.86652;1078.54;1792.26;94.1421;192.906;408.512;549.347;227.381;160.364;53.2096;46.4138;45.4903;291.718;120.794;32.324;110.558;111.835;21.5514;21.7927;24.762;3.39628
3;1;761.732;683.845;603.948;413.072;127.403;113.358;26.7279;19.9461;705.223;464.084;477.47;44.2908;49.7625;89.418;98.0634;81.1062;63.3298;45.3849;41.7957;48.0808;53.2856;62.1803;59.2221;150.763;162.767;26.6577;23.8975;22.6791;2.33148
4;0;242663;9900.14;24597.2;1737.51;1047.58;563.825;81717.5;10933.8;89.345;963.171;1921.24;46.4323;173.582;374.226;548.357;229.611;162.351;54.3112;44.8681;44.8751;291.805;121.144;29.8406;111.271;113.268;19.5254;20.7569;24.318;3.42409
4;1;779.523;701.031;624.603;446.367;157.831;112.514;3.02345;14.9374;739.151;485.52;499.355;29.7363;69.6528;122.028;78.2298;63.788;46.9401;39.1854;43.1628;47.602;53.7806;62.7963;44.5051;149.045;164.353;21.9302;22.1464;22.2766;2.4765
