All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.482952	1.123567	0.003440	2.946995	3.022594	
213.164581	1.801366	1.488414	1.145748	0.002967	3.078147	3.055785	
214.752319	1.796011	1.528991	1.168772	0.002497	3.173756	3.089487	
216.340134	1.790912	1.562682	1.192738	0.002132	3.236725	3.123678	
217.928055	1.786005	1.577068	1.217744	0.001848	3.301921	3.158371	
219.516022	1.781151	1.590551	1.243896	0.001397	3.386322	3.193607	
221.104050	1.776367	1.619376	1.271268	0.001173	3.482748	3.229531	
222.692169	1.771816	1.661265	1.300082	0.000950	3.581534	3.266649	
224.280350	1.767480	1.709576	1.331440	0.000729	3.684899	3.306002	
225.868576	1.763291	1.769529	1.368742	0.000510	3.802797	3.347950	
227.456879	1.759150	1.855452	1.417031	0.000293	3.934796	3.388365	
229.045258	1.755276	1.978434	1.476103	0.000079	4.067631	3.417338	
230.633713	1.751450	2.136571	1.535902	0.000000	4.186872	3.427399	
232.222244	1.747662	2.326383	1.583465	0.000000	4.282964	3.422007	
233.810822	1.743917	2.540797	1.613059	0.000000	4.344052	3.412525	
235.399445	1.740412	2.766237	1.628942	0.000000	4.364104	3.408360	
236.988159	1.736960	2.988985	1.637225	0.000000	4.343899	3.412519	
238.576935	1.733552	3.199943	1.642134	0.000000	4.289858	3.424280	
240.165741	1.730382	3.394020	1.645569	0.000000	4.206897	3.442288	
241.754639	1.727244	3.565447	1.648309	0.000000	4.100265	3.465570	
243.343597	1.724156	3.711133	1.650725	0.000000	3.977727	3.493745	
244.932617	1.721282	3.830072	1.653081	0.000000	3.845315	3.526508	
246.521698	1.718439	3.920037	1.655635	0.000000	3.710071	3.563881	
248.110840	1.715615	3.983297	1.658714	0.000000	3.583138	3.606118	
249.700027	1.712840	4.028413	1.662727	0.000000	3.472660	3.653296	
251.289276	1.710177	4.068540	1.668192	0.000000	3.381157	3.705624	
252.878616	1.707630	4.113531	1.675715	0.000000	3.300140	3.763267	
254.467972	1.705125	4.164303	1.685985	0.000000	3.221465	3.826319	
256.057404	1.702677	4.219429	1.699746	0.000000	3.139565	3.894793	
257.646881	1.700397	4.276147	1.717770	0.000000	3.049984	3.968604	
259.236420	1.698043	4.329982	1.740836	0.000000	2.949386	4.047571	
260.826019	1.695632	4.374424	1.769707	0.000000	2.835953	4.131420	
262.415680	1.693550	4.399926	1.805106	0.000000	2.713111	4.219814	
264.005371	1.691507	4.403201	1.847700	0.000000	2.591181	4.312377	
265.595154	1.689352	4.386912	1.898091	0.000000	2.478365	4.408767	
267.184967	1.687262	4.357167	1.956990	0.000000	2.380476	4.508855	
268.774811	1.685311	4.321511	2.025317	0.000000	2.297378	4.612829	
270.364716	1.683378	4.283197	2.104447	0.000000	2.226574	4.721065	
271.954681	1.681464	4.243953	2.197320	0.000000	2.166408	4.833691	
273.544739	1.679574	4.205009	2.309657	0.000000	2.115564	4.948874	
275.134796	1.677697	4.167260	2.444857	0.000000	2.072840	5.060009	
276.724915	1.675961	4.131310	2.602002	0.000000	2.037170	5.157740	
278.315063	1.674275	4.097573	2.773091	0.000000	2.007600	5.234608	
279.905273	1.672616	4.066323	2.946965	0.000000	1.983265	5.294608	
281.495544	1.670964	4.037685	3.122405	0.000000	1.963361	5.347751	
