Net counts

Spectrum                                      Si    P    Ar   Ni      Zn    Ga   Rh
20230621_CVD_2808_60s_20x20ptsdet_1_12_14 354887 7050    98  804       0 24256 7859
20230621_CVD_2808_60s_20x20ptsdet_1_12_15 354142 7120   125  682       0 24251 8008
20230621_CVD_2808_60s_20x20ptsdet_1_12_16 354791 6967    19  851       0 24123 8040
20230621_CVD_2808_60s_20x20ptsdet_1_12_17 353985 7060    34  796       0 24212 7962
20230621_CVD_2808_60s_20x20ptsdet_1_12_18 354563 7037    26  725       0 24180 7920
20230621_CVD_2808_60s_20x20ptsdet_1_12_19 354393 7057     0  691       0 24098 7475
20230621_CVD_2808_60s_20x20ptsdet_1_12_2  353153 7181    34  743       0 24087 7983
20230621_CVD_2808_60s_20x20ptsdet_1_12_3  354150 7159    35  765       0 24150 8064
20230621_CVD_2808_60s_20x20ptsdet_1_12_4  353658 6950   114  874       0 24825 7893
20230621_CVD_2808_60s_20x20ptsdet_1_12_5  355230 7031    83  744       0 24362 8268
20230621_CVD_2808_60s_20x20ptsdet_1_12_6  353226 6980    57  809       0 24120 7929
20230621_CVD_2808_60s_20x20ptsdet_1_12_7  354892 6980    30  699       0 24423 7874
20230621_CVD_2808_60s_20x20ptsdet_1_12_8  353397 6843    48  820       0 24532 7662
20230621_CVD_2808_60s_20x20ptsdet_1_12_9  353870 7011    40  800       0 24704 8060
20230621_CVD_2808_60s_20x20ptsdet_1_13_0  354987 7111    79  827       0 24547 7850
20230621_CVD_2808_60s_20x20ptsdet_1_13_1  353984 7151   116  823       0 24200 8060
20230621_CVD_2808_60s_20x20ptsdet_1_13_10 354742 7146    66  769       0 24586 7793
20230621_CVD_2808_60s_20x20ptsdet_1_13_11 353561 7043   117  874       0 24334 7697
20230621_CVD_2808_60s_20x20ptsdet_1_13_12 354355 6975    54  754       0 24201 7899
20230621_CVD_2808_60s_20x20ptsdet_1_13_13 355378 7056   111  691       0 24249 7611
20230621_CVD_2808_60s_20x20ptsdet_1_13_14 354307 7175    15  841       0 24049 7725
20230621_CVD_2808_60s_20x20ptsdet_1_13_15 354193 7155    97  783       0 24469 8102
20230621_CVD_2808_60s_20x20ptsdet_1_13_16 354070 7082    69  840       0 24236 8040
20230621_CVD_2808_60s_20x20ptsdet_1_13_17 352766 7085    26  897       0 24232 7763
20230621_CVD_2808_60s_20x20ptsdet_1_13_18 351753 7034   106  816       0 24381 7943
20230621_CVD_2808_60s_20x20ptsdet_1_13_19 352200 7087    52  849       0 24335 7477
20230621_CVD_2808_60s_20x20ptsdet_1_13_2  354644 6968    71  764       0 24013 7823
20230621_CVD_2808_60s_20x20ptsdet_1_13_3  354282 7168    51  746       0 24343 8292
20230621_CVD_2808_60s_20x20ptsdet_1_13_4  354600 7089   126  769       0 24230 8118
20230621_CVD_2808_60s_20x20ptsdet_1_13_5  354227 7146    85  831       0 24262 7933
20230621_CVD_2808_60s_20x20ptsdet_1_13_6  354090 7076    60  837       0 24210 7808
20230621_CVD_2808_60s_20x20ptsdet_1_13_7  355583 6925    36  728       0 24326 7956
20230621_CVD_2808_60s_20x20ptsdet_1_13_8  353878 7065    52  635       0 24203 8099
20230621_CVD_2808_60s_20x20ptsdet_1_13_9  353964 7099    42  775       0 24294 7998
20230621_CVD_2808_60s_20x20ptsdet_1_14_0  352390 7049    85  782       0 24375 7649
20230621_CVD_2808_60s_20x20ptsdet_1_14_1  351970 7061    52  807       0 24116 7979
20230621_CVD_2808_60s_20x20ptsdet_1_14_10 350782 7090   106  720       0 24084 8339
20230621_CVD_2808_60s_20x20ptsdet_1_14_11 351905 7049    25  852       0 24134 7929
20230621_CVD_2808_60s_20x20ptsdet_1_14_12 351259 6907    62  801       0 24213 7325
20230621_CVD_2808_60s_20x20ptsdet_1_14_13 351485 6962    73  761       0 24134 7930
20230621_CVD_2808_60s_20x20ptsdet_1_14_14 350969 6948    53  797       0 24447 7785
20230621_CVD_2808_60s_20x20ptsdet_1_14_15 353276 6968    49  905       0 24059 8239
20230621_CVD_2808_60s_20x20ptsdet_1_14_16 354523 6962    59  804       0 24078 8020
20230621_CVD_2808_60s_20x20ptsdet_1_14_17 353740 7107    34  723       0 24199 8208
20230621_CVD_2808_60s_20x20ptsdet_1_14_18 352835 6933    38  873       0 24198 7774
20230621_CVD_2808_60s_20x20ptsdet_1_14_19 353153 7216    41  708       0 24030 8053
20230621_CVD_2808_60s_20x20ptsdet_1_14_2  352967 6926    24  787       0 24224 7790
20230621_CVD_2808_60s_20x20ptsdet_1_14_3  352436 6950    87  647       0 23950 8165
20230621_CVD_2808_60s_20x20ptsdet_1_14_4  351415 7080    69  718       0 23776 7885
20230621_CVD_2808_60s_20x20ptsdet_1_14_5  352920 6889    61  787       0 23911 7868
20230621_CVD_2808_60s_20x20ptsdet_1_14_6  351182 7185    41  843       0 24697 7905
20230621_CVD_2808_60s_20x20ptsdet_1_14_7  355017 6938     5  813       0 24458 8290
20230621_CVD_2808_60s_20x20ptsdet_1_14_8  353264 7065    95  757       0 24261 7994
20230621_CVD_2808_60s_20x20ptsdet_1_14_9  351860 6958   111  715       0 24141 7915
20230621_CVD_2808_60s_20x20ptsdet_1_15_0  352594 7067    29  762       0 24246 8023
20230621_CVD_2808_60s_20x20ptsdet_1_15_1  352819 7136    23  703       0 24179 8059
20230621_CVD_2808_60s_20x20ptsdet_1_15_10 352811 7071    47  815       0 23766 7884
20230621_CVD_2808_60s_20x20ptsdet_1_15_11 352635 7034    37  753       0 24164 7880
20230621_CVD_2808_60s_20x20ptsdet_1_15_12 353467 7041    87  770       0 23805 8021
20230621_CVD_2808_60s_20x20ptsdet_1_15_13 351833 6982    69  864       0 24196 7877
20230621_CVD_2808_60s_20x20ptsdet_1_15_14 353273 7063    87  738       0 24220 7576
20230621_CVD_2808_60s_20x20ptsdet_1_15_15 353996 7060    25  848       0 24113 7907
20230621_CVD_2808_60s_20x20ptsdet_1_15_16 354349 7049    47  748       0 24196 8123
20230621_CVD_2808_60s_20x20ptsdet_1_15_17 353895 7241   106  836       0 23988 7701
20230621_CVD_2808_60s_20x20ptsdet_1_15_18 353606 6874     8  760       0 24382 7651
20230621_CVD_2808_60s_20x20ptsdet_1_15_19 354785 6968    68  865       0 24157 7942
20230621_CVD_2808_60s_20x20ptsdet_1_15_2  353023 6982    70  817       0 24128 7794
20230621_CVD_2808_60s_20x20ptsdet_1_15_3  353293 6984    87  710       0 24261 8081
20230621_CVD_2808_60s_20x20ptsdet_1_15_4  353949 7081    55  825       0 24311 8465
20230621_CVD_2808_60s_20x20ptsdet_1_15_5  351789 7005    83  793       0 24267 7625
20230621_CVD_2808_60s_20x20ptsdet_1_15_6  353095 7092    75  693       0 24079 7743
20230621_CVD_2808_60s_20x20ptsdet_1_15_7  354171 6891    13  827       0 24523 7926
20230621_CVD_2808_60s_20x20ptsdet_1_15_8  353557 6914    70  805       0 24110 8141
20230621_CVD_2808_60s_20x20ptsdet_1_15_9  352834 7129    72  666       0 23895 7523
20230621_CVD_2808_60s_20x20ptsdet_1_16_0  353281 7047    47  766       0 24339 8151
20230621_CVD_2808_60s_20x20ptsdet_1_16_1  352929 7010    21  688       0 23949 7918
20230621_CVD_2808_60s_20x20ptsdet_1_16_10 354702 7100   135  765       0 24142 7867
20230621_CVD_2808_60s_20x20ptsdet_1_16_11 353395 7017    77  836       0 23929 7791
20230621_CVD_2808_60s_20x20ptsdet_1_16_12 353508 6993    80  811       0 24155 7934
20230621_CVD_2808_60s_20x20ptsdet_1_16_13 353860 7041    29  674       0 24137 7755
20230621_CVD_2808_60s_20x20ptsdet_1_16_14 353715 7181    70  744       0 24324 8392
20230621_CVD_2808_60s_20x20ptsdet_1_16_15 353863 7106   107  884       0 24369 8335
20230621_CVD_2808_60s_20x20ptsdet_1_16_16 355383 7093    49  843       0 24447 7842
20230621_CVD_2808_60s_20x20ptsdet_1_16_17 354848 7127    59  807       0 24621 7858
20230621_CVD_2808_60s_20x20ptsdet_1_16_18 353885 7037    76  753       0 24468 8110
20230621_CVD_2808_60s_20x20ptsdet_1_16_19 353915 7258    99  694       0 24460 7855
20230621_CVD_2808_60s_20x20ptsdet_1_16_2  355070 7091    48  754       0 24232 7999
20230621_CVD_2808_60s_20x20ptsdet_1_16_3  353303 7105    81  785       0 24167 7910
20230621_CVD_2808_60s_20x20ptsdet_1_16_4  351419 7143   113  845       0 23943 7671
20230621_CVD_2808_60s_20x20ptsdet_1_16_5  352328 7021    26  760       0 24496 8047
20230621_CVD_2808_60s_20x20ptsdet_1_16_6  353564 7193    72  846       0 24409 7983
20230621_CVD_2808_60s_20x20ptsdet_1_16_7  353776 7388   116  676       0 24213 8159
20230621_CVD_2808_60s_20x20ptsdet_1_16_8  353342 7030    88  831       0 24438 7754
20230621_CVD_2808_60s_20x20ptsdet_1_16_9  353425 7138    74  815       0 24231 8159
20230621_CVD_2808_60s_20x20ptsdet_1_17_0  355447 7097    77  819       0 24270 7993
20230621_CVD_2808_60s_20x20ptsdet_1_17_1  354488 7156   122  786       0 24074 7570
20230621_CVD_2808_60s_20x20ptsdet_1_17_10 352690 7047    91  810       0 24197 8184
20230621_CVD_2808_60s_20x20ptsdet_1_17_11 351671 7058    54  728       0 24108 7429
20230621_CVD_2808_60s_20x20ptsdet_1_17_12 352044 7083    47  837       0 24050 7817
20230621_CVD_2808_60s_20x20ptsdet_1_17_13 351164 6980    41  824       0 24152 7797
20230621_CVD_2808_60s_20x20ptsdet_1_17_14 351305 7006    89  736       0 24521 7505
20230621_CVD_2808_60s_20x20ptsdet_1_17_15 351860 6985   145  760       0 23917 7736
20230621_CVD_2808_60s_20x20ptsdet_1_17_16 352691 7111    45  801       0 24244 7489
20230621_CVD_2808_60s_20x20ptsdet_1_17_17 351294 6933    59  796       0 23937 7638
20230621_CVD_2808_60s_20x20ptsdet_1_17_18 351113 7031    63  734       0 23956 7661
20230621_CVD_2808_60s_20x20ptsdet_1_17_19 351642 7006    17  669       0 24227 7686
20230621_CVD_2808_60s_20x20ptsdet_1_17_2  354999 7022    87  832       0 24232 7790
