All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.438127	1.123567	0.003440	2.976925	3.022594	
213.164581	1.801366	1.457067	1.145748	0.002967	3.044224	3.055785	
214.752319	1.796011	1.480876	1.168772	0.002497	3.108498	3.089487	
216.340134	1.790912	1.503418	1.192738	0.002132	3.171439	3.123678	
217.928055	1.786005	1.523652	1.217744	0.001848	3.240398	3.158371	
219.516022	1.781151	1.546449	1.243896	0.001397	3.319233	3.193607	
221.104050	1.776367	1.576545	1.271268	0.001173	3.407423	3.229531	
222.692169	1.771816	1.615797	1.300082	0.000950	3.503335	3.266649	
224.280350	1.767480	1.664839	1.331440	0.000729	3.607342	3.306002	
225.868576	1.763291	1.727862	1.368742	0.000510	3.722153	3.347950	
227.456879	1.759150	1.812761	1.417031	0.000293	3.846264	3.388365	
229.045258	1.755276	1.926698	1.476103	0.000079	3.972724	3.417338	
230.633713	1.751450	2.071801	1.535902	0.000000	4.092263	3.427399	
232.222244	1.747662	2.249671	1.583465	0.000000	4.196269	3.422007	
233.810822	1.743917	2.458494	1.613059	0.000000	4.269039	3.412525	
235.399445	1.740412	2.683318	1.628942	0.000000	4.299057	3.408360	
236.988159	1.736960	2.907031	1.637225	0.000000	4.284966	3.412519	
238.576935	1.733552	3.116642	1.642134	0.000000	4.235126	3.424280	
240.165741	1.730382	3.307758	1.645569	0.000000	4.157471	3.442288	
241.754639	1.727244	3.476469	1.648309	0.000000	4.057549	3.465570	
243.343597	1.724156	3.619760	1.650725	0.000000	3.942769	3.493745	
244.932617	1.721282	3.737630	1.653081	0.000000	3.819635	3.526508	
246.521698	1.718439	3.829715	1.655635	0.000000	3.693666	3.563881	
248.110840	1.715615	3.896674	1.658714	0.000000	3.573336	3.606118	
249.700027	1.712840	3.944826	1.662727	0.000000	3.466631	3.653296	
251.289276	1.710177	3.984309	1.668192	0.000000	3.377993	3.705624	
252.878616	1.707630	4.027368	1.675715	0.000000	3.303185	3.763267	
254.467972	1.705125	4.077398	1.685985	0.000000	3.232809	3.826319	
256.057404	1.702677	4.133434	1.699746	0.000000	3.160472	3.894793	
257.646881	1.700397	4.193156	1.717770	0.000000	3.081419	3.968604	
259.236420	1.698043	4.252819	1.740836	0.000000	2.991783	4.047571	
260.826019	1.695632	4.307034	1.769707	0.000000	2.889001	4.131420	
262.415680	1.693550	4.347741	1.805106	0.000000	2.772547	4.219814	
264.005371	1.691507	4.366313	1.847700	0.000000	2.649795	4.312377	
265.595154	1.689352	4.362445	1.898091	0.000000	2.530833	4.408767	
267.184967	1.687262	4.339815	1.956990	0.000000	2.423208	4.508855	
268.774811	1.685311	4.305589	2.025317	0.000000	2.331524	4.612829	
270.364716	1.683378	4.266140	2.104447	0.000000	2.254382	4.721065	
271.954681	1.681464	4.224227	2.197320	0.000000	2.189922	4.833691	
273.544739	1.679574	4.181800	2.309657	0.000000	2.136867	4.948874	
275.134796	1.677697	4.140643	2.444857	0.000000	2.093918	5.060009	
276.724915	1.675961	4.101950	2.602002	0.000000	2.059420	5.157740	
278.315063	1.674275	4.066329	2.773091	0.000000	2.031894	5.234608	
279.905273	1.672616	4.034068	2.946965	0.000000	2.010043	5.294608	
281.495544	1.670964	4.005186	3.122405	0.000000	1.992767	5.347751	
283.085876	1.669457	3.979576	3.309460	0.000000	1.979179	5.401219	
284.676208	1.667986	3.957020	3.524439	0.000000	1.968495	5.446385	
