All Layer Optical Constants
Wavelength (nm)	n, GaP Oxide	n, B-Spline	n, SI_JAW	k, GaP Oxide	k, B-Spline	k, SI_JAW
211.576874	1.806929	1.499430	1.123567	0.003440	2.959196	3.022594	
213.164581	1.801366	1.497462	1.145748	0.002967	3.062033	3.055785	
214.752319	1.796011	1.522085	1.168772	0.002497	3.144796	3.089487	
216.340134	1.790912	1.544737	1.192738	0.002132	3.207934	3.123678	
217.928055	1.786005	1.556137	1.217744	0.001848	3.275445	3.158371	
219.516022	1.781151	1.569695	1.243896	0.001397	3.359579	3.193607	
221.104050	1.776367	1.598208	1.271268	0.001173	3.455032	3.229531	
222.692169	1.771816	1.640524	1.300082	0.000950	3.553424	3.266649	
224.280350	1.767480	1.691235	1.331440	0.000729	3.655273	3.306002	
225.868576	1.763291	1.753207	1.368742	0.000510	3.768670	3.347950	
227.456879	1.759150	1.838096	1.417031	0.000293	3.894226	3.388365	
229.045258	1.755276	1.956575	1.476103	0.000079	4.022142	3.417338	
230.633713	1.751450	2.108799	1.535902	0.000000	4.138974	3.427399	
232.222244	1.747662	2.292408	1.583465	0.000000	4.235679	3.422007	
233.810822	1.743917	2.503040	1.613059	0.000000	4.299765	3.412525	
235.399445	1.740412	2.727145	1.628942	0.000000	4.322512	3.408360	
236.988159	1.736960	2.949726	1.637225	0.000000	4.303121	3.412519	
238.576935	1.733552	3.159102	1.642134	0.000000	4.248670	3.424280	
240.165741	1.730382	3.350495	1.645569	0.000000	4.165978	3.442288	
241.754639	1.727244	3.519190	1.648309	0.000000	4.060241	3.465570	
243.343597	1.724156	3.661492	1.650725	0.000000	3.939328	3.493745	
244.932617	1.721282	3.777328	1.653081	0.000000	3.810279	3.526508	
246.521698	1.718439	3.866320	1.655635	0.000000	3.679041	3.563881	
248.110840	1.715615	3.929279	1.658714	0.000000	3.554861	3.606118	
249.700027	1.712840	3.973470	1.662727	0.000000	3.446466	3.653296	
251.289276	1.710177	4.010791	1.668192	0.000000	3.358454	3.705624	
252.878616	1.707630	4.055643	1.675715	0.000000	3.284465	3.763267	
254.467972	1.705125	4.110553	1.685985	0.000000	3.211734	3.826319	
256.057404	1.702677	4.171746	1.699746	0.000000	3.131944	3.894793	
257.646881	1.700397	4.232574	1.717770	0.000000	3.040903	3.968604	
