"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;229256;9330.23;28452;2017.89;570.291;207.998;100226;12735;8.21017;1257.76;2197.85;71.9661;181.762;304.521;551.496;217.329;174.349;58.031;39.6598;40.0421;324.525;134.784;32.2805;117.252;119.61;21.3121;22.0389;23.6757;11.5446
0;1;776.031;618.672;588.299;428.314;42.3719;1.12546;521.86;289.303;752.292;386.894;452.787;8.03175;37.1037;87.9876;75.8235;63.5155;47.9638;36.2297;33.7876;38.6746;64.5257;61.5741;44.0731;140.557;153.799;23.5938;20.8555;19.964;2.41416
1;0;228229;9817.88;28612.6;1971.04;647.081;281.746;100685;13082.9;53.4592;1346.6;1906.42;116.263;194.29;364.289;539.139;225.876;175.131;57.5827;39.832;41.4009;326.752;136.228;34.0059;117.837;118.654;22.8364;22.4382;24.0255;11.287
1;1;855.368;651.6;607.343;442.604;56.7981;21.4767;579.563;332.808;835.871;437.904;518.52;4.48137;10.1473;57.5197;91.2836;66.827;54.0612;38.8405;38.225;45.3373;72.3102;70.7228;49.4491;145.899;174.409;30.1334;25.5199;21.9817;2.28931
2;0;228970;9639.83;28198.8;2135.71;514.594;133.317;100557;12845.5;19.7451;1182.8;2338.1;78.1539;147.344;393.536;534.531;227.17;173.697;58.8093;39.1771;40.3417;325.544;134.998;32.9275;119.111;121.219;21.188;20.6058;24.5765;11.15
2;1;844.977;745.941;664.745;465.015;36.2642;24.1007;473.763;249.216;760.364;482.364;500.78;18.9355;43.3023;92.75;99.932;79.3269;58.3988;44.9185;38.7088;45.0317;73.9181;70.9196;51.6646;163.067;185.203;28.5665;25.8686;23.6889;2.45931
3;0;230240;9601.96;28663.2;2122.95;504.521;171.072;100069;12933.7;3.03686;1385.32;2019.27;89.9789;200.977;393.347;541.315;229.218;175.538;59.1261;39.3958;40.1566;325.453;135.922;33.7872;119.717;120.403;21.4096;21.6595;24.2626;11.2883
3;1;833.791;735.495;657.644;462.005;45.3555;36.1185;491.456;256.915;783.812;505.059;527.441;3.6562;22.7551;74.4889;97.602;78.7734;57.6235;45.1576;38.6821;45.9378;73.5329;71.5735;53.1719;165.038;188.165;30.598;26.2736;22.9089;2.56527
4;0;229806;9483.67;28386.9;2034.09;618.981;244.743;99897;12651.1;23.6191;1308.6;2209.17;111.544;165.743;357.218;530.43;227.785;174.52;58.4693;39.9158;41.3358;323.955;135.581;31.6054;120.62;122.739;21.8827;21.7561;24.643;11.5043
4;1;796.041;716.63;632.444;432.824;64.7232;46.9728;459.979;237.658;694.582;466.813;483.746;16.2099;44.8749;85.8675;98.9354;69.5918;62.1732;38.3543;38.8405;44.9948;74.1272;70.6155;51.8289;133.837;163.875;27.1227;24.3042;22.6386;2.60716
5;0;229548;9309.33;28622.6;2147.69;636.674;187.014;99781.7;13013.6;12.7447;1362.83;2057.19;110.34;158.856;360.212;539.865;224.946;175.346;59.1787;39.9907;40.9583;325.184;136.371;32.5798;117.543;119.062;21.5724;21.2233;24.4526;11.2394
5;1;808.85;735.337;663.326;479.618;37.4205;32.3575;502.183;252.358;704.664;487.289;509.733;23.0347;48.4648;102.166;80.4823;67.6694;47.8195;41.0752;37.9663;44.8102;68.3819;68.3687;43.194;158.154;169.858;26.472;24.1284;22.0908;2.73704
6;0;229354;9626.51;28585.6;2099.51;517.563;263.187;99868.1;12865.2;43.5561;1353.64;2002.68;77.9966;197.925;376.195;540.966;227.348;175.427;59.1354;39.2307;41.0847;325.512;135.54;33.5158;118.058;119.43;21.1866;21.8698;24.4892;11.2301
6;1;800.82;710.147;634.763;445.435;57.72;57.5953;533.153;271.757;748.814;492.025;515.833;24.8419;57.0575;103.483;71.3351;62.9065;43.4631;36.8105;37.0123;43.3243;68.3851;66.812;41.2646;151.875;166.392;22.7996;21.6091;20.5412;2.63605
7;0;228815;9278.59;28550.4;2054.98;650.795;260.117;100196;12646.6;63.1257;1215.31;2173.6;105.839;158.764;307.815;538.714;224.448;174.962;58.6108;39.1315;40.5681;325.739;135.461;32.1785;117.422;119.877;22.9007;21.84;23.7017;11.6341
7;1;800.279;705.258;623.018;420.901;43.0819;5.78274;512.403;275.578;744.659;471.116;490.61;61.1259;69.7598;108.631;68.6408;61.5331;39.5828;35.3055;36.1092;42.3808;65.8948;65.7097;40.436;148.301;160.431;27.3387;24.5079;22.2231;2.57026
8;0;229111;9140.25;28515;2022.73;626.763;146.087;100037;12728.6;0.360455;1108.53;2286.58;76.5089;202.754;367.792;525.002;219.405;177.264;58.2987;39.4181;39.8703;323.536;135.178;32.5243;119.129;122.056;20.181;22.147;24.6399;11.746
8;1;766.261;603.765;577.604;429.172;41.214;33.0368;512.997;291.505;752.677;377.407;439.569;4.98776;37.9757;91.4969;75.079;65.0908;47.7806;37.0799;33.3483;39.6169;65.09;62.1118;44.5511;138.825;150.252;21.9954;20.0424;19.6222;2.67613
9;0;228150;9330.74;28377.1;2049.19;603.73;228.081;99482.2;12988.5;39.898;1268.09;2105.08;58.3424;141.01;342.366;542.452;223.413;174.622;58.2116;39.134;39.8369;325.519;136.126;33.2187;117.898;119.49;20.4167;20.5238;23.7271;11.3622
9;1;785.836;707.653;628.994;435.155;85.3793;54.0832;507.49;247.094;731.465;483.353;499.346;10.7699;34.3814;74.5121;91.1505;67.3335;56.9053;39.5015;38.8961;44.3912;74.4263;70.5302;51.7157;131.655;158.916;28.4204;24.7946;22.2285;2.69103
10;0;229948;9421.45;28707.4;2108.1;632.253;213.471;100622;12452.2;20.3021;1241.62;2096.73;59.0351;162.453;364.483;526.453;226.542;175.136;58.7913;41.1383;40.6247;323.919;135.011;32.6989;119.007;120.82;18.9459;20.0947;23.6177;11.0413
10;1;822.692;718.874;629.287;424.375;24.3577;10.6604;449.151;239.161;816.805;506.399;523.194;16.8668;54.1936;94.2294;91.7434;76.3573;53.8361;43.1731;38.0629;45.7374;70.1847;69.305;55.2327;161.229;180.654;26.9849;24.9986;23.2699;2.53497
11;0;228933;9571.65;28366.7;2018.55;567.757;173.889;100068;12445.8;10.725;1293.07;2170.23;67.2872;160.347;359.572;536.514;225.27;174.209;57.6997;39.6899;39.4907;325.074;134.94;32.33;118.274;120.364;20.5538;21.1214;24.2332;11.1321
11;1;772.898;694.376;612.935;428.421;36.3989;7.91512;505.174;262.912;710.221;485.645;506.918;22.2331;52.8169;100.571;91.8659;74.3624;56.2181;42.8509;37.8027;44.1508;75.5704;71.3989;52.1245;154.295;172.952;24.1587;22.7633;22.0107;2.70311
12;0;227790;9797.83;28504.2;2104.23;554.16;232.186;99774.6;12479.4;33.5624;1352.33;2188.4;64.228;161.676;358.797;523.991;227.56;177.274;58.6812;38.9652;40.29;322.138;134.169;25.6393;119.202;121.781;20.5628;20.5931;23.9042;11.2591
12;1;797.501;714.574;628.821;430.184;54.0433;51.7526;529.364;263.213;744.113;491.436;506.355;25.7693;66.6597;106.383;92.5745;62.9563;57.6535;38.2899;37.7244;44.5852;75.8861;70.9658;52.5865;124.407;156.596;20.2922;20.7604;21.5012;2.8783
13;0;229986;9399.93;28325.7;2137.05;671.98;239.318;100070;12680.8;69.3988;1292.19;2044.84;61.9086;199.345;344.166;519.344;224.037;173.617;58.7471;40.8058;41.4053;325.024;134.464;26.4611;116.244;118.363;20.6803;21.9348;23.892;11.6487
13;1;822.019;721.751;644.3;455.832;35.4125;20.567;517.25;278.401;760.022;485.668;506.504;21.6226;45.2499;97.3424;93.7053;65.0493;55.7678;37.75;37.6371;44.4177;69.343;68.2108;49.369;128.751;159.167;26.6079;24.1167;22.5294;2.58642
14;0;229068;9884.4;28215.6;1989.92;569.573;229.81;100132;12559.6;94.8273;1279.75;2153.21;137.397;130.135;430.741;520.244;245.524;173.532;57.9405;39.361;40.6872;321.824;134.488;26.1612;117.104;119.969;22.4646;20.5498;25.3622;11.3538
14;1;772.359;698.829;618.869;429.892;41.9771;26.3173;486.713;259.242;685.301;482.561;506.101;0.257886;26.4033;75.9263;90.2721;72.5299;56.8233;42.0855;38.4225;44.7883;75.1899;71.0389;49.1054;155.419;173.659;28.4398;24.2116;21.6323;2.67362
15;0;230100;9541.76;28275.7;2065.13;608.375;177.759;99823.6;12842.1;6.48871;1419.32;1993.01;124.949;145.43;355.391;533.791;224.153;174.094;58.6952;39.9299;40.8624;324.418;135.237;32.9048;119.379;120.357;21.7134;20.368;23.4914;11.4437
15;1;789.674;704.615;618.867;422.392;32.9309;48.0724;523.253;256.272;735.152;481.007;493.901;9.38058;39.6827;83.664;81.4797;56.9077;47.8345;34.3255;37.9885;45.4429;70.7604;68.9246;44.8171;126.023;149.261;26.625;23.6277;21.4578;2.72475
