"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
10;1;814.814;718.264;619.315;406.669;112.208;68.8106;9.70221;8.14754;763.458;484.121;497.554;16.7974;42.2958;75.1263;94.0785;71.0066;53.9026;38.8634;40.9481;46.6423;54.2134;63.0237;53.013;149.667;173.326;25.0743;22.5817;20.9159;2.49403
11;0;311698;13402.3;11891.4;850.234;2296.04;312.48;36057.4;4931.23;18.0641;498.999;908.386;87.8153;171.131;386.688;624.204;255.031;113.618;38.3544;57.4779;41.8176;197.271;92.1733;34.9471;86.5978;86.1804;22.363;21.744;24.4027;2.74525
11;1;827.613;715.045;614.993;389.408;100.949;41.5084;20.7917;15.2756;779.064;465.66;475.951;18.629;33.699;65.6395;81.6169;67.314;43.4946;41.1394;40.6782;44.6776;53.48;62.3832;42.515;131.319;146.903;27.3944;23.9647;21.2629;2.20212
12;0;310491;12991.9;11697.9;869.712;2210.56;197.918;36405;4775.42;7.82557;444.975;951.611;92.8531;172.439;421.087;621.064;252.765;112.847;39.0976;57.0977;41.284;198.4;91.4854;36.1267;85.7364;86.1248;20.675;21.1247;25.2836;2.52693
12;1;929.13;687.684;628.163;426.032;101.472;59.6798;11.3758;19.4997;958.455;459.756;526.88;36.7526;25.4427;73.7632;101.254;80.3933;57.783;43.7333;40.7008;46.7582;54.8771;63.5485;58.1851;168.13;189.301;28.4478;24.8432;22.3972;2.20217
13;0;310985;12808.1;11765.8;916.689;2344.14;431.969;36566.4;5014.82;5.32291;579.634;824.727;16.1673;172.785;327.553;632.985;251.968;113.14;39.5137;57.7305;42.803;198.127;92.3441;33.8557;85.1989;84.8026;19.9665;21.225;23.6832;2.98821
13;1;811.936;722.781;630.208;420.229;114.172;67.031;13.4397;15.4148;736.445;472.114;483.024;33.0316;50.976;83.7035;98.775;83.8102;63.3062;46.3662;40.0879;45.4921;53.0245;61.9207;56.904;154.876;163.221;26.3411;23.9635;22.3059;2.39156
14;0;309712;12861.6;11761.2;864.653;2196.06;471.061;36541.1;4951.02;4.03048;547.031;876.57;52.5731;228.453;332.491;627.71;250.777;112.814;38.6998;56.3018;43.0398;198.266;91.8279;29.7249;85.0245;85.305;20.5818;22.27;22.909;2.50445
14;1;822.005;731.031;635.64;418.751;111.396;53.0196;26.2632;27.7852;696.952;431.874;442.703;32.5593;35.5386;73.8323;121.56;70.3514;75.1169;42.5964;39.8117;44.8472;53.4147;62.3554;66.3533;115.007;155.543;26.6138;23.3298;21.6903;2.38981
15;0;309639;13161.3;11711.9;868.559;2149.84;296.238;36024.5;4965.86;10.4074;542.512;881.442;21.817;133.155;385.502;628.441;254.43;112.701;38.5797;56.3474;41.7759;197.42;92.1367;34.5663;86.9952;86.33;19.6386;19.7868;24.2024;2.50571
15;1;828.575;728.314;623.342;401.714;114.524;53.8684;29.7789;25.8963;752.097;466.347;470.381;27.0616;59.8732;92.4041;88.2007;58.4369;50.6139;33.7137;39.9871;45.4456;54.0244;62.6685;48.7341;120.889;143.054;20.9579;20.6616;20.3919;2.51894
16;0;310538;12936.2;11751.7;835.23;2206.94;344.576;36459.9;5014.44;14.0959;583.713;872.399;118.784;170.947;342.758;632.104;252.546;112.954;38.4114;56.7935;42.16;198.217;92.0557;34.3643;88.2795;87.7001;21.5316;20.7062;22.9703;2.5465
16;1;828.244;719.662;623.299;398.705;105.625;68.4344;7.29732;13.0313;764.726;467.015;480.696;41.9873;58.924;98.0372;96.1916;75.841;53.5356;42.7046;41.1782;46.8285;54.3136;63.3267;50.1214;148.193;170.43;26.5604;24.723;23.1477;2.28477
17;0;309225;13163;11610.8;895.216;2295.39;511.729;36682.3;5204.93;6.82137;666.81;875.85;98.4531;208.363;362.982;633.904;252.179;112.102;38.5951;56.798;43.06;198.109;92.3695;34.4196;87.1414;86.4523;21.5206;21.8986;23.5749;3.18207
17;1;827.47;722.186;623.83;403.349;132.757;77.6612;32.7314;36.1185;793.463;497.395;512.723;38.2594;48.8191;84.0182;79.2015;65.7976;47.4144;36.4896;38.3764;42.3867;49.0728;56.5357;46.8419;136.111;153.775;24.0657;20.961;19.6543;2.40923
18;0;309651;13155.1;11860;843.257;2172.83;303.206;35933.9;4877.36;19.7996;588.669;924.631;77.1005;208.929;297.877;624.729;253.147;113.363;37.978;56.5117;42.002;197.322;92.0482;34.4187;87.4509;86.4459;18.9967;20.8998;21.6486;2.5667
18;1;798.493;710.505;615.437;401.057;98.3164;33.2021;36.7542;43.5856;723.027;463.033;471.74;4.61385;22.104;58.7089;101.501;82.9089;61.1091;47.6062;40.4916;45.1123;54.5565;63.8249;57.7616;147.305;172.162;24.86;21.6596;19.5034;2.27711
19;0;310425;13139.5;12035.3;869.296;2220.3;372.329;36393.6;5054.64;1.11651;430.294;1097.44;82.5391;190.691;388.013;623.191;247.139;113.984;38.4376;56.8571;42.9516;198.057;92.6512;34.2489;86.8325;88.2221;21.1202;21.2487;24.1777;2.58992
19;1;813.474;723.593;623.941;401.59;111.371;61.0058;12.1722;18.8535;723.59;461.431;470.068;26.2311;39.9632;70.464;86.4503;68.78;49.464;40.0456;40.845;46.4116;54.2571;62.8095;47.2014;125.103;145.316;23.6665;21.5247;19.4715;2.38539
20;0;306993;13013;11701.2;835.238;2266.84;316.192;35532.1;4970.79;15.4176;483.971;970.306;73.3035;195.878;320.02;622.48;251.09;112.744;38.1979;57.3914;42.2745;196.29;92.076;35.3607;87.6531;88.4221;21.1761;21.5033;22.7851;2.55159
