"row";"column";"Si_Ka";"Si_Kb";"P_Ka";"P_Kb";"Ni_Ka";"Ni_Kb";"Ga_Ka";"Ga_Kb";"Ga_L1";"Ga_L2";"Ga_L3";"Rh_L1";"Rh_L2";"Rh_L3";"s(Si_Ka)";"s(Si_Kb)";"s(P_Ka)";"s(P_Kb)";"s(Ni_Ka)";"s(Ni_Kb)";"s(Ga_Ka)";"s(Ga_Kb)";"s(Ga_L1)";"s(Ga_L2)";"s(Ga_L3)";"s(Rh_L1)";"s(Rh_L2)";"s(Rh_L3)";"chisq"
0;0;222174;8977.26;27737.9;2069.62;1266.72;344.146;97016.5;12836.1;8.8272;1215.78;2059.69;59.1125;240.704;329.014;538.977;219.89;171.791;57.9333;47.0619;41.587;320.14;128.413;25.1135;115.519;118.608;20.6564;23.1174;23.7438;2.55916
0;1;754.94;679.404;604.159;424.348;105.469;37.1563;4.92026;21.3931;725.211;491.762;510.55;30.5411;39.2699;86.0549;90.6979;73.2437;56.8886;42.7028;40.8609;44.9319;53.1084;62.3437;51.6014;152.331;171.588;27.1917;24.0342;22.1991;2.37789
1;0;220259;9194.93;27356.8;1971.75;1125.51;344.807;95938.1;12715;18.0615;1069.95;2156.43;97.0988;246.171;337;518.353;221.478;170.976;57.1374;45.7354;41.872;314.794;128.537;30.8935;113.934;117.174;21.7423;23.3789;23.5821;2.62141
1;1;808.861;723.769;660.353;490.139;173.229;126.625;42.0359;23.387;707.165;458.645;483.089;30.0679;42.761;108.615;87.7458;64.3181;55.1205;43.3248;41.8994;46.8197;50.9892;59.1362;47.9932;118.269;144.517;24.4705;22.5756;21.4239;2.46754
2;0;219408;9032.73;27054.7;2007.19;1158.83;277.742;96293.6;13129.7;10.3337;1112.17;2040.36;61.1162;237.105;353.817;519.037;221.587;170.258;57.5735;46.3046;41.2617;315.47;129.643;32.6772;115.28;117.115;19.9345;22.6491;24.0819;2.34656
2;1;785.374;694.431;608.607;417.437;135.979;43.847;8.36003;29.7357;762.409;491.18;503.267;39.5031;47.8432;89.032;94.9028;76.8323;57.7072;42.9233;42.3596;44.7537;52.1954;61.4914;55.7899;154.89;170.519;28.7008;25.1659;23.1384;2.37118
3;0;220536;9125.99;27602.8;2108.79;1164.12;255.769;95977.4;12887.6;0.144432;1168.25;2182.55;63.9789;259.903;337.324;512.38;220.775;171.543;58.319;46.3549;41.0134;314.298;129.958;26.9686;113.927;117.26;20.2077;23.1308;22.9805;2.45191
3;1;754.665;683.649;614.045;436.825;115.806;53.9677;5.64673;19.5824;684.986;463.482;480.508;27.2221;46.3228;87.4687;93.3986;80.0585;60.1276;48.1016;41.1947;45.2512;52.4558;61.0744;54.3075;149.319;165.965;25.2438;23.1398;21.9057;2.29012
4;0;218974;8824.42;27520.8;1994.19;1130.74;270.896;96274.4;12787.8;1.55901;1217.81;2141.59;77.1097;168.703;396.129;517.136;220.221;171.629;57.3459;46.0731;41.5749;316.293;129.21;31.928;116.644;118.917;21.6156;21.6424;25.2221;2.45179
4;1;722.401;653.982;587.939;417.446;119.856;50.7695;8.21428;31.3977;675.436;441.908;453.384;56.2581;43.9302;89.2536;102.623;86.1612;70.8237;48.9946;41.5413;44.5238;51.7952;61.0663;65.8364;144.999;158.594;28.9692;25.2333;23.4388;2.24364
